ST,YEAR,POPULA,INCOME,BRANCH,NOFACIL,N_TOTLN,N_TOTRE,N_REFRM,N_RERES,N_REOTH,N_COLLAT,N_OTHLN,N_OTHLNI,N_TOTINV,N_GOVTSEC,N_OTHSEC,N_CASH,N_OTHASS,N_TOTASS,N_TOTDEP,N_DEPIBK,N_DEPGOVT,N_DEPOTHD,N_DEPOTHT,N_BORR,N_BKNOTES,N_OTHLIAB,N_CAP,N_SURP,N_TOTLIAB,N_NOBNKS,A_TOTLN,A_TOTRE,A_REFRM,A_RERES,A_REOTH,A_OTHLNI,A_TOTINV,A_GOVTSEC,A_OTHSEC,A_CASH,A_OTHASS,A_TOTASS,A_TOTDEP,A_DEPIBK,A_DEPGOVT,A_DEPOTHD,A_DEPOTHT,A_BORR,A_BKNOTES,A_OTHLIAB,A_CAP,A_SURP,A_TOTLIAB,A_NOBNKS,N_INTD,N_INTDLN,N_INTDINV,N_INTIBK,N_XCCOLL,N_FXPROF,N_INSUR,N_TRUST,N_SECPROF,N_OTHEARN,N_GRSEARN,N_SALARY,N_INTDBOR,N_INTDEP,N_INTBKD,N_INTDD,N_INTTD,N_TAX,N_OTHEXP,N_TOTEXP,N_RECCOA,N_RECLD,N_RECSEC,N_CHGLN,N_CHGSEC,N_CHGFIX,N_CHGTRU,N_OTHLOSS,N_CHGFX,N_CHGTOT,N_DIVID,N_FAIL,C_FAIL,N_FAILASS,C_FAILASS,A_DEBITS
ND,1908,512593,-3,-1,-1,20930,1132,-3,-3,-3,9354,10444,-3,3469,2860,609,5922,1770,32091,22821,1626,446,12571,8178,560,2340,85,4660,1625,32091,131,41270,3743,-3,-3,-3,18531,3883,3211,672,12173,4002,61328,44328,1850,446,24362,17670,1660,2340,119,9947,2934,61328,552,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2035,-3,-3,-3,-3,-3,-3,-3,-3,1022,-3,-3,-3,-3,-3,-3,-3,-3,-3,185,598,-1,-1,-1,-1,-1
NE,1908,1165895,-3,-1,-1,74906,956,-3,-3,-3,24212,49738,-3,14843,12197,2646,34651,3648,128048,98742,26689,2571,54454,15028,38,9033,24,13353,6858,128048,209,127309,9987,-3,-3,-3,81114,15850,12669,3181,55933,6295,205387,161591,28134,2571,95683,35203,179,9033,24,24187,10373,205387,837,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,5739,-3,-3,-3,-3,-3,-3,-3,-3,2969,-3,-3,-3,-3,-3,-3,-3,-3,-3,545,1537,-1,-1,-1,-1,-1
NH,1908,426706,-3,-1,-1,15758,152,-3,-3,-3,4449,11157,-3,10996,6042,4954,5771,893,33418,19060,2425,1104,14816,715,246,4932,191,5435,3554,33418,57,55451,22733,-3,-3,-3,20747,60984,15256,45728,8363,2545,127343,101902,2458,1104,15939,82401,247,4932,233,5865,14164,127343,121,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1485,-3,-3,-3,-3,-3,-3,-3,-3,482,-3,-3,-3,-3,-3,-3,-3,-3,-3,326,439,-1,-1,-1,-1,-1
NJ,1908,2390453,-3,-1,-1,104230,1182,-3,-3,-3,31650,71398,-3,51513,18615,32898,46914,7431,210088,149439,14708,1428,114764,18539,1240,13301,390,19887,25831,210088,173,238262,64203,-3,-3,-3,100263,166329,59798,106531,84596,18442,507629,396068,21418,1428,195875,177347,1807,13301,2408,37377,56668,507629,303,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,8041,-3,-3,-3,-3,-3,-3,-3,-3,3618,-3,-3,-3,-3,-3,-3,-3,-3,-3,1167,2264,-1,-1,-1,-1,-1
NM,1908,295191,-3,-1,-1,8752,231,-3,-3,-3,2657,5864,-3,2423,1965,458,4067,600,15842,11147,798,350,8157,1842,132,1551,39,2020,953,15842,41,11325,572,-3,-3,-3,7657,2469,1970,499,5240,743,19777,14091,828,350,10340,2573,132,1551,112,2785,1106,19777,67,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,893,-3,-3,-3,-3,-3,-3,-3,-3,447,-3,-3,-3,-3,-3,-3,-3,-3,-3,64,237,-1,-1,-1,-1,-1
NV,1908,71756,-3,-1,-1,4922,81,-3,-3,-3,1647,3194,-3,2600,2017,583,1524,267,9313,5156,194,534,3611,817,454,1482,0,1707,514,9313,9,14148,1806,-3,-3,-3,6313,3694,2416,1278,5620,1278,24740,16031,390,534,11044,4063,454,1482,407,4695,1671,24740,40,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,550,-3,-3,-3,-3,-3,-3,-3,-3,290,-3,-3,-3,-3,-3,-3,-3,-3,-3,80,111,-1,-1,-1,-1,-1
NY,1908,8710562,-3,-1,-1,1097332,2651,-3,-3,-3,660138,434543,-3,329295,100976,228319,634192,60227,2121046,1675743,724801,15131,905584,30227,2032,89646,17841   1,58782,177002,2121046,423,2846114,848985,-3,-3,-3,712518,1426859,588941,837918,1219520,148849,5641342,4634887,930576,15131,2090201  1,598979,13547,89646,52029   3,14217,537016,5641342,1014,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,69111,-3,-3,-3,-3,-3,-3,-3,-3,26749,-3,-3,-3,-3,-3,-3,-3,-3,-3,13964,27302,-1,-1,-1,-1,-1
OH,1908,4638444,-3,-1,-1,262134,5549,-3,-3,-3,93538,163047,-3,83668,56099,27569,109707,23266,478775,329503,69242,7629,220751,31881,1115,41033,10552,60914,35658,478775,365,529297,94897,-3,-3,-3,248367,187827,79312,108515,183260,40700,941084,719381,74664,7629,349567,287521,3402,41033,12374   1,2039,62855,941084,1079,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,18219,-3,-3,-3,-3,-3,-3,-3,-3,9167,-3,-3,-3,-3,-3,-3,-3,-3,-3,2102,5087,-1,-1,-1,-1,-1
OK,1908,1429088,-3,-1,-1,37011,1324,-3,-3,-3,17330,18357,-3,11961,9830,2131,16256,3259,68487,42508,3913,1697,34757,2141,1085,7677,177,12242,4798,68487,308,53876,2707,-3,-3,-3,25609,12946,10635,2311,26349,4962,98133,63721,4619,1697,53355,4050,1454,7677,177,18883,6221,98133,803,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,4965,-3,-3,-3,-3,-3,-3,-3,-3,2309,-3,-3,-3,-3,-3,-3,-3,-3,-3,608,1424,-1,-1,-1,-1,-1
OR,1908,610370,-3,-1,-1,23061,397,-3,-3,-3,4630,18034,-3,9964,6016,3948,17751,1143,51919,41125,5345,1974,32134,1672,68,2686,86,4431,3523,51919,63,50231,4250,-3,-3,-3,35557,20889,7381,13508,33573,3736,108429,86784,8321,1974,58982,17507,68,2686,1189,11615,6087,108429,201,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2066,-3,-3,-3,-3,-3,-3,-3,-3,850,-3,-3,-3,-3,-3,-3,-3,-3,-3,330,395,-1,-1,-1,-1,-1
PA,1908,7370756,-3,-1,-1,587697,4628,-3,-3,-3,215758,367311,-3,255639,103746,151893,259243,46123,1148702,810003,206263,12232,491023,100485,4185,81890,2182   1,12660,137782,1148702,765,1036796,122743,-3,-3,-3,474668,613140,135283,477857,367855,100531,2118322,1475246,214761,12232,767589,480664,12246,81890,13286   2,25415,310239,2118322,1319,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,42396,-3,-3,-3,-3,-3,-3,-3,-3,20106,-3,-3,-3,-3,-3,-3,-3,-3,-3,6861,10125,-1,-1,-1,-1,-1
RI,1908,517597,-3,-1,-1,25545,65,-3,-3,-3,5861,19619,-3,8698,4591,4107,6303,851,41397,24837,2685,439,19773,1940,0,4145,83,6700,5632,41397,22,104802,30401,-3,-3,-3,46636,90011,21444,68567,27286,4217,226316,186053,3823,439,52533,129258,0,4145,4348,13657,18113,226316,55,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3925,-3,-3,-3,-3,-3,-3,-3,-3,1264,-3,-3,-3,-3,-3,-3,-3,-3,-3,655,1361,-1,-1,-1,-1,-1
SC,1908,1478643,-3,-1,-1,15369,100,-3,-3,-3,5464,9805,-3,5619,4518,1101,3661,828,25477,14363,2174,792,7669,3728,1487,3117,115,4230,2165,25477,29,53515,7585,-3,-3,-3,27304,9171,6200,2971,9203,2283,74172,42984,2709,792,22451,17032,2589,3117,5481,13423,6578,74172,262,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1388,-3,-3,-3,-3,-3,-3,-3,-3,650,-3,-3,-3,-3,-3,-3,-3,-3,-3,182,423,-1,-1,-1,-1,-1
SD,1908,541771,-3,-1,-1,18394,642,-3,-3,-3,6256,11496,-3,3906,2977,929,6744,1324,30368,23310,2383,711,11416,8800,115,2012,1,3417,1513,30368,89,46380,5568,-3,-3,-3,24061,4565,3330,1235,17748,3913,72606,58499,3241,711,27584,26963,457,2012,1,8521,3116,72606,501,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1516,-3,-3,-3,-3,-3,-3,-3,-3,841,-3,-3,-3,-3,-3,-3,-3,-3,-3,185,421,-1,-1,-1,-1,-1
TN,1908,2150920,-3,-1,-1,43852,551,-3,-3,-3,12254,31047,-3,12975,10901,2074,16739,1854,75420,50650,7477,1664,35395,6114,929,8214,194,10012,5421,75420,86,89117,2697,-3,-3,-3,69535,16669,11703,4966,35432,8554,149772,103641,10988,1664,71614,19375,2551,8214,2276,23208,9882,149772,411,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3460,-3,-3,-3,-3,-3,-3,-3,-3,1662,-3,-3,-3,-3,-3,-3,-3,-3,-3,336,708,-1,-1,-1,-1,-1
TX,1908,3709939,-3,-1,-1,133483,4432,-3,-3,-3,39884,89167,-3,31689,28550,3139,52638,9691,227501,132123,18958,3150,104427,5588,5092,23896,531,40596,25263,227501,533,168461,12461,-3,-3,-3,1010929,33272,28606,4666,69580,12136,283449,165691,21913,3150,133759,6869,6091,23896,1955,50910,34906,283449,1039,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,13374,-3,-3,-3,-3,-3,-3,-3,-3,6007,-3,-3,-3,-3,-3,-3,-3,-3,-3,1072,3747,-1,-1,-1,-1,-1
UT,1908,351650,-3,-1,-1,10872,156,-3,-3,-3,3943,6773,-3,4210,2559,1651,6292,499,21873,16293,3631,329,9480,2853,10,1912,9,2175,1474,21873,20,32905,6502,-3,-3,-3,14682,7611,3099,4512,14484,1689,56689,44745,5537,329,23178,15701,10,1912,1190,5790,3042,56689,76,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1151,-3,-3,-3,-3,-3,-3,-3,-3,547,-3,-3,-3,-3,-3,-3,-3,-3,-3,231,324,-1,-1,-1,-1,-1
VA,1908,2018348,-3,-1,-1,63439,465,-3,-3,-3,16156,46818,-3,18569,13056,5513,18102,5973,106083,69651,8972,4856,46863,8960,1238,9797,2751,12587,10059,106083,105,112416,9050,-3,-3,-3,74510,23888,14335,9553,28258,8929,173491,116661,10484,4856,74910,26411,2849,9797,3063,23827,17294,173491,358,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,4278,-3,-3,-3,-3,-3,-3,-3,-3,2084,-3,-3,-3,-3,-3,-3,-3,-3,-3,527,1178,-1,-1,-1,-1,-1
VT,1908,353458,-3,-1,-1,15393,215,-3,-3,-3,3849,11329,-3,9936,6401,3535,4340,694,30363,16439,935,635,10633,4236,231,4608,57,5710,3318,30363,51,61818,38727,-3,-3,-3,17881,25762,21837,3925,7643,1974,97197,77066,987,635,13269,62175,411,4608,66,7123,7923,97197,100,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1286,-3,-3,-3,-3,-3,-3,-3,-3,571,-3,-3,-3,-3,-3,-3,-3,-3,-3,151,416,-1,-1,-1,-1,-1
WA,1908,975019,-3,-1,-1,46262,1187,-3,-3,-3,16022,29053,-3,13491,7724,5767,29225,2058,91036,72992,9113,3080,52115,8684,72,4708,26,7587,5651,91036,62,93470,8373,-3,-3,-3,58289,19557,10417,9140,56467,10024,179518,144961,13376,3080,92048,36457,72,4708,935,18768,10074,179518,291,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,4608,-3,-3,-3,-3,-3,-3,-3,-3,1819,-3,-3,-3,-3,-3,-3,-3,-3,-3,720,1398,-1,-1,-1,-1,-1
WI,1908,2278315,-3,-1,-1,84427,950,-3,-3,-3,20157,63320,-3,31745,16506,15239,33856,3817,153845,116503,12523,2164,70750,31066,117,12056,303,16015,8851,153845,130,171818,27600,-3,-3,-3,108917,46424,19002,27422,59219,9458,286919,227812,13903,2164,117405,94340,302,12056,1122,30451,15176,286919,587,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,5446,-3,-3,-3,-3,-3,-3,-3,-3,2574,-3,-3,-3,-3,-3,-3,-3,-3,-3,768,1400,-1,-1,-1,-1,-1
WV,1908,1163461,-3,-1,-1,33131,257,-3,-3,-3,8622,24252,-3,12166,8489,3677,9984,2780,58061,37144,2480,1450,24325,8889,379,7019,238,8027,5254,58061,95,80858,4961,-3,-3,-3,58741,18499,9343,9156,20415,6685,126457,88050,3749,1450,49114,33737,846,7019,476,17833,12233,126457,268,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2281,-3,-3,-3,-3,-3,-3,-3,-3,1018,-3,-3,-3,-3,-3,-3,-3,-3,-3,240,562,-1,-1,-1,-1,-1
WY,1908,133247,-3,-1,-1,9310,228,-3,-3,-3,4157,4925,-3,2433,2085,348,3346,363,15452,11213,635,728,7056,2794,188,1223,16,1610,1202,15452,30,13185,968,-3,-3,-3,6750,2477,2118,359,4622,540,20824,14870,697,728,9612,3833,188,1223,351,2531,1661,20824,76,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,872,-3,-3,-3,-3,-3,-3,-3,-3,350,-3,-3,-3,-3,-3,-3,-3,-3,-3,57,218,-1,-1,-1,-1,-1
AK,1909,64279,-3,-1,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-1,-1,-1,-1,-1
AL,1909,2104932,-3,-1,-1,26655,871,-3,-3,-3,14577,11207,-3,10561,9581,980,10434,2040,49690,28363,1984,522,22559,3298,1033,6896,77,8372,4949,49690,75,58311,4255,-3,-3,-3,32081,12870,10362,2508,21195,4482,96858,59021,4033,522,44641,9825,2813,6896,225,17910,9993,96858,274,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2513,-3,-3,-3,-3,-3,-3,-3,-3,1201,-3,-3,-3,-3,-3,-3,-3,-3,-3,197,824,-1,-1,-1,-1,-1
AR,1909,1545947,-3,-1,-1,14916,376,-3,-3,-3,3824,10716,-3,2606,2454,152,6409,712,24643,16081,2764,109,12015,1193,42,2068,48,4080,2324,24643,43,51126,4420,-3,-3,-3,37804,4008,3000,1008,18954,4684,78772,53150,4447,109,40611,7983,710,2068,247,15362,7235,78772,381,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1253,-3,-3,-3,-3,-3,-3,-3,-3,560,-3,-3,-3,-3,-3,-3,-3,-3,-3,145,380,-1,-1,-1,-1,-1
AZ,1909,194228,-3,-1,-1,3893,174,-3,-3,-3,1440,2279,-3,1604,1364,240,3186,363,9046,6756,264,260,6147,85,0,698,5,780,807,9046,13,10085,1818,-3,-3,-3,4844,2656,1744,912,7090,1140,20971,16424,549,260,14256,1359,179,698,6,2014,1650,20971,48,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,487,-3,-3,-3,-3,-3,-3,-3,-3,253,-3,-3,-3,-3,-3,-3,-3,-3,-3,57,149,-1,-1,-1,-1,-1
CA,1909,2268249,-3,-1,-1,143113,2316,-3,-3,-3,48432,92365,-3,57232,43204,14028,83291,9247,292883,202799,57062,2018,134139,9580,408,28453,1185,35955,24083,292883,149,469084,206662,-3,-3,-3,171636,163782,75494,88288,171923,38182,842971,642291,72897,2018,269167,298209,2340,28453,3049,96843,69995,842971,632,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,11015,-3,-3,-3,-3,-3,-3,-3,-3,4651,-3,-3,-3,-3,-3,-3,-3,-3,-3,1414,3046,-1,-1,-1,-1,-1
CO,1909,768279,-3,-1,-1,49789,2012,-3,-3,-3,17085,30692,-3,27994,12002,15992,51127,1916,130826,107415,21632,1566,66806,17411,139,7036,81,9195,6960,130826,113,65843,5716,-3,-3,-3,36983,33174,12894,20280,61538,3371,163926,133704,22447,1566,83452,26239,277,7036,242,13795,8872,163926,259,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,5410,-3,-3,-3,-3,-3,-3,-3,-3,2606,-3,-3,-3,-3,-3,-3,-3,-3,-3,767,1321,-1,-1,-1,-1,-1
CT,1909,1092171,-3,-1,-1,57544,201,-3,-3,-3,17448,39895,-3,30426,14765,15661,19794,4114,111878,62524,5183,538,55975,828,510,12936,71,20250,15587,111878,81,187354,92406,-3,-3,-3,53796,203410,61974,141436,33719,9443,433926,354105,6115,538,82744,264708,2721,12936,828,25910,37426,433926,217,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,4155,-3,-3,-3,-3,-3,-3,-3,-3,1808,-3,-3,-3,-3,-3,-3,-3,-3,-3,526,1329,-1,-1,-1,-1,-1
DC,1909,325419,-3,-1,-1,20349,285,-3,-3,-3,11454,8610,-3,10876,5876,5000,11977,4699,47901,30602,4673,2037,23590,302,55,5160,1721,5552,4811,47901,11,47598,15376,-3,-3,-3,10201,16536,6127,10409,21453,8868,94455,62853,5767,2037,49658,5391,145,5160,2463,14747,9087,94455,27,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-1,-3,-3,-3,-3,-3,-3,-3,-3,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-1,-1,-1,-1,-1,-1,-1
DE,1909,200490,-3,-1,-1,8827,112,-3,-3,-3,2269,6446,-3,4359,1766,2593,2495,680,16361,9895,825,57,7913,1100,99,1518,2,2349,2498,16361,27,18261,4910,-3,-3,-3,8819,16024,2475,13549,4554,1652,40491,27930,971,57,15819,11083,248,1518,44,4561,6190,40491,41,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,657,-3,-3,-3,-3,-3,-3,-3,-3,288,-3,-3,-3,-3,-3,-3,-3,-3,-3,41,202,-1,-1,-1,-1,-1
FL,1909,726483,-3,-1,-1,21228,338,-3,-3,-3,6845,14045,-3,7121,6158,963,9078,1385,38812,26302,4102,822,15972,5406,749,4052,107,5130,2472,38812,39,33797,3435,-3,-3,-3,21082,8191,6902,1289,14677,2361,59026,41405,4524,822,26437,9622,1188,4052,118,8497,3766,59026,138,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1935,-3,-3,-3,-3,-3,-3,-3,-3,925,-3,-3,-3,-3,-3,-3,-3,-3,-3,97,598,-1,-1,-1,-1,-1
GA,1909,2566896,-3,-1,-1,44919,394,-3,-3,-3,15232,29293,-3,11680,11240,440,13275,2559,72433,40677,5132,1097,28161,6287,2183,9268,123,11402,8780,72433,102,116951,8422,-3,-3,-3,76335,15628,12228,3400,29390,7043,169012,97955,8336,1097,60371,28151,9319,9268,237,30784,21449,169012,603,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3822,-3,-3,-3,-3,-3,-3,-3,-3,1850,-3,-3,-3,-3,-3,-3,-3,-3,-3,318,1167,-1,-1,-1,-1,-1
HA,1909,187701,-3,-1,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-1,-1,-1,-1,-1
IA,1909,2225478,-3,-1,-1,115997,3215,-3,-3,-3,21194,91588,-3,27559,21303,6256,42696,5542,191794,144256,38334,1522,67873,36527,730,16199,120,20560,9929,191794,319,366807,93983,-3,-3,-3,231364,35430,23742,11688,98754,17674,518665,413645,44413,1522,158711,208999,2140,16199,2871,57753,26057,518665,1553,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,7638,-3,-3,-3,-3,-3,-3,-3,-3,4189,-3,-3,-3,-3,-3,-3,-3,-3,-3,693,1988,-1,-1,-1,-1,-1
ID,1909,303598,-3,-1,-1,11550,284,-3,-3,-3,2886,8380,-3,2905,2135,770,5354,966,20775,15713,1481,394,11612,2226,75,1343,6,2260,1378,20775,42,25437,3277,-3,-3,-3,16597,4382,2468,1914,10289,2631,42739,31423,2140,394,23026,5863,457,1343,19,6778,2719,42739,167,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1211,-3,-3,-3,-3,-3,-3,-3,-3,533,-3,-3,-3,-3,-3,-3,-3,-3,-3,107,428,-1,-1,-1,-1,-1
IL,1909,5551012,-3,-1,-1,391151,4389,-3,-3,-3,106825,279937,-3,93198,56286,36912,199554,15230,699133,559250,228062,5943,274408,50837,513,35610,1566,56120,46074,699133,412,826529,80829,-3,-3,-3,467251,201743,82455,119288,380049,37582,1445903,1169257,279288,5943,560027,323999,2549,35610,14567   1,30293,93627,1445903,1539,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,23166,-3,-3,-3,-3,-3,-3,-3,-3,12658,-3,-3,-3,-3,-3,-3,-3,-3,-3,2896,5751,-1,-1,-1,-1,-1
IN,1909,2681842,-3,-1,-1,105380,2067,-3,-3,-3,24545,78768,-3,39881,27920,11961,46413,8256,199930,136210,19296,2871,105755,8288,148,21194,3310,25728,13340,199930,250,212891,52160,-3,-3,-3,122361,57218,35789,21429,78610,13520,362239,265968,22647,2871,181040,59410,537,21194,3965,48608,21967,362239,801,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,7741,-3,-3,-3,-3,-3,-3,-3,-3,4141,-3,-3,-3,-3,-3,-3,-3,-3,-3,518,2109,-1,-1,-1,-1,-1
KS,1909,1667492,-3,-1,-1,63543,1013,-3,-3,-3,25411,37119,-3,16583,14190,2393,35491,2751,118368,88627,19957,1133,57619,9918,152,9853,41,12193,7502,118368,211,134979,14544,-3,-3,-3,77341,19346,16235,3111,69616,6077,230018,178354,22833,1133,127642,26746,636,9853,260,26665,14250,230018,989,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,5247,-3,-3,-3,-3,-3,-3,-3,-3,2448,-3,-3,-3,-3,-3,-3,-3,-3,-3,593,1502,-1,-1,-1,-1,-1
KY,1909,2275215,-3,-1,-1,61307,562,-3,-3,-3,21422,39323,-3,24287,19387,4900,24481,4084,114159,72151,15472,3165,46057,7457,1173,14479,947,17079,8330,114159,148,124296,15091,-3,-3,-3,73360,33053,20779,12274,44253,9171,210773,138137,16990,3165,88176,29806,2648,14479,2994,36683,15832,210773,609,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,4614,-3,-3,-3,-3,-3,-3,-3,-3,2365,-3,-3,-3,-3,-3,-3,-3,-3,-3,846,1254,-1,-1,-1,-1,-1
LA,1909,1626615,-3,-1,-1,33756,1087,-3,-3,-3,14394,18275,-3,9486,7985,1501,16035,2190,61467,40988,11721,425,24580,4262,247,5707,210,8495,5820,61467,35,90677,12308,-3,-3,-3,37115,22081,14338,7743,38035,7849,158642,111341,20377,425,63000,27539,3626,5707,337,21956,15675,158642,222,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2856,-3,-3,-3,-3,-3,-3,-3,-3,1456,-3,-3,-3,-3,-3,-3,-3,-3,-3,348,715,-1,-1,-1,-1,-1
MA,1909,3305595,-3,-1,-1,303475,744,-3,-3,-3,109701,193030,-3,72228,33284,38944,154207,12369,542279,406468,113373,1541,283398,8156,455,29224,1472,54967,49693,542279,196,936950,340040,-3,-3,-3,316030,400882,129066,271816,237601,32476,1607909,1368247,125556,1541,486737,754413,650,29224,3010,72582,134196,1607909,497,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,18481,-3,-3,-3,-3,-3,-3,-3,-3,9912,-3,-3,-3,-3,-3,-3,-3,-3,-3,2676,4239,-1,-1,-1,-1,-1
MD,1909,1284193,-3,-1,-1,75359,590,-3,-3,-3,28783,45986,-3,31328,17703,13625,32954,6183,145824,100223,27855,1818,58321,12229,1136,12193,744,17677,13851,145824,102,116726,15197,-3,-3,-3,55751,135882,47134,88748,48547,12672,313827,231984,29749,1818,91602,108815,1476,12193,5992,29945,32237,313827,215,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,5094,-3,-3,-3,-3,-3,-3,-3,-3,2593,-3,-3,-3,-3,-3,-3,-3,-3,-3,856,1454,-1,-1,-1,-1,-1
ME,1909,737435,-3,-1,-1,30860,210,-3,-3,-3,7073,23577,-3,15305,6999,8306,8594,1566,56325,34846,1552,382,18672,14240,769,5769,130,9051,5760,56325,77,69180,15153,-3,-3,-3,36888,104763,32046,72717,14581,4389,192913,155997,2225,382,32429,120961,2053,5769,225,12289,16580,192913,170,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2405,-3,-3,-3,-3,-3,-3,-3,-3,1244,-3,-3,-3,-3,-3,-3,-3,-3,-3,505,522,-1,-1,-1,-1,-1
MI,1909,2768592,-3,-1,-1,85846,833,-3,-3,-3,30158,54855,-3,26202,15621,10581,34905,3669,150622,117176,18525,1604,67318,29729,149,9306,287,14986,8718,150622,97,268853,70696,-3,-3,-3,134388,63351,31050,32301,89401,11919,433524,357700,25299,1604,148299,182498,789,9306,489,39381,25859,433524,725,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,6094,-3,-3,-3,-3,-3,-3,-3,-3,3721,-3,-3,-3,-3,-3,-3,-3,-3,-3,526,1306,-1,-1,-1,-1,-1
MN,1909,2040742,-3,-1,-1,139185,2943,-3,-3,-3,34063,102179,-3,24429,17884,6545,55936,7127,226677,176102,45250,1678,86193,42981,185,13420,655,21091,15224,226677,266,223680,32297,-3,-3,-3,144795,39409,29006,10403,75707,12568,351364,280201,46900,1678,118868,112755,755,13420,1290,34325,21373,351364,916,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,8926,-3,-3,-3,-3,-3,-3,-3,-3,4866,-3,-3,-3,-3,-3,-3,-3,-3,-3,1173,2627,-1,-1,-1,-1,-1
MO,1909,3274174,-3,-1,-1,209628,1140,-3,-3,-3,84180,124308,-3,47118,32876,14242,126675,7425,390846,306158,160991,2423,117318,25426,337,25794,1485,33098,23974,390846,125,430594,44296,-3,-3,-3,227765,92040,45221,46819,208454,18429,749517,571542,180764,2423,284645,103710,3132,25794,3452,79822,65775,749517,1186,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,13128,-3,-3,-3,-3,-3,-3,-3,-3,6950,-3,-3,-3,-3,-3,-3,-3,-3,-3,2247,3477,-1,-1,-1,-1,-1
MS,1909,1770871,-3,-1,-1,10900,655,-3,-3,-3,3729,6516,-3,4640,3986,654,4620,1150,21310,12488,928,200,9745,1615,371,3050,137,3460,1804,21310,31,54647,15382,-3,-3,-3,26424,6777,5073,1704,16835,4025,82284,53411,1746,200,42156,9309,2928,3050,211,15947,6737,82284,324,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1137,-3,-3,-3,-3,-3,-3,-3,-3,571,-3,-3,-3,-3,-3,-3,-3,-3,-3,353,302,-1,-1,-1,-1,-1
