ST,YEAR,POPULA,INCOME,BRANCH,NOFACIL,N_TOTLN,N_TOTRE,N_REFRM,N_RERES,N_REOTH,N_COLLAT,N_OTHLN,N_OTHLNI,N_TOTINV,N_GOVTSEC,N_OTHSEC,N_CASH,N_OTHASS,N_TOTASS,N_TOTDEP,N_DEPIBK,N_DEPGOVT,N_DEPOTHD,N_DEPOTHT,N_BORR,N_BKNOTES,N_OTHLIAB,N_CAP,N_SURP,N_TOTLIAB,N_NOBNKS,A_TOTLN,A_TOTRE,A_REFRM,A_RERES,A_REOTH,A_OTHLNI,A_TOTINV,A_GOVTSEC,A_OTHSEC,A_CASH,A_OTHASS,A_TOTASS,A_TOTDEP,A_DEPIBK,A_DEPGOVT,A_DEPOTHD,A_DEPOTHT,A_BORR,A_BKNOTES,A_OTHLIAB,A_CAP,A_SURP,A_TOTLIAB,A_NOBNKS,N_INTD,N_INTDLN,N_INTDINV,N_INTIBK,N_XCCOLL,N_FXPROF,N_INSUR,N_TRUST,N_SECPROF,N_OTHEARN,N_GRSEARN,N_SALARY,N_INTDBOR,N_INTDEP,N_INTBKD,N_INTDD,N_INTTD,N_TAX,N_OTHEXP,N_TOTEXP,N_RECCOA,N_RECLD,N_RECSEC,N_CHGLN,N_CHGSEC,N_CHGFIX,N_CHGTRU,N_OTHLOSS,N_CHGFX,N_CHGTOT,N_DIVID,N_FAIL,C_FAIL,N_FAILASS,C_FAILASS,A_DEBITS
GA,1896,2056164,-3,-1,-1,8859,96,-3,-3,-3,3731,5032,-3,2389,1653,736,2829,589,14666,7400,527,130,6164,579,588,1060,8,3816,1794,14666,30,34100,2752,-3,-3,-3,21943,4529,2152,2377,11084,2472,52185,29526,1925,130,20084,7387,1075,1060,180,13837,6507,52185,186,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,791,-3,-3,-3,-3,-3,-3,-3,-3,349,-3,-3,-3,-3,-3,-3,-3,-3,-3,151,225,-1,-1,-1,-1,-1
HA,1896,-3,-3,-1,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-1,-1,-1,-1,-1
IA,1896,2098077,-3,-1,-1,33915,1057,-3,-3,-3,6947,25911,-3,6910,4880,2030,9336,2635,52796,30309,5243,131,21574,3361,983,3689,2,13495,4318,52796,168,120422,28716,-3,-3,-3,77698,10029,5864,4165,32947,10209,173607,114435,6057,131,42650,65597,983,3689,1192,42119,11189,173607,1026,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2721,-3,-3,-3,-3,-3,-3,-3,-3,1324,-3,-3,-3,-3,-3,-3,-3,-3,-3,289,1050,-1,-1,-1,-1,-1
ID,1896,127120,-3,-1,-1,1343,44,-3,-3,-3,450,849,-3,750,405,345,792,302,3187,1910,58,50,1597,205,37,162,0,675,403,3187,11,2107,91,-3,-3,-3,1426,901,412,489,1067,563,4638,2544,90,50,2082,322,37,162,74,1257,564,4638,33,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,251,-3,-3,-3,-3,-3,-3,-3,-3,110,-3,-3,-3,-3,-3,-3,-3,-3,-3,73,55,-1,-1,-1,-1,-1
IL,1896,4395679,-3,-1,-1,139719,1994,-3,-3,-3,49143,88582,-3,20279,11714,8565,65737,5130,230865,163590,52107,1484,105321,4678,683,6532,10,39171,20879,230865,220,281862,31474,-3,-3,-3,152995,35325,15263,20062,122357,13716,453260,331917,61860,1484,204558,64015,992,6532,5711,71922,36186,453260,939,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,9532,-3,-3,-3,-3,-3,-3,-3,-3,4425,-3,-3,-3,-3,-3,-3,-3,-3,-3,3142,3398,-1,-1,-1,-1,-1
IN,1896,2381455,-3,-1,-1,34274,489,-3,-3,-3,5783,28002,-3,9059,7265,1794,14418,2155,59906,34815,2727,204,31121,763,158,4707,21,14282,5923,59906,113,67972,8642,-3,-3,-3,48402,12313,9074,3239,25864,4837,110986,66550,3014,204,54245,9087,218,4707,503,28976,10032,110986,422,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3081,-3,-3,-3,-3,-3,-3,-3,-3,1352,-3,-3,-3,-3,-3,-3,-3,-3,-3,506,1065,-1,-1,-1,-1,-1
KS,1896,1453391,-3,-1,-1,18222,336,-3,-3,-3,8502,9384,-3,3941,3378,563,6464,2292,30919,16695,712,331,14739,913,466,2249,3,9552,1954,30919,116,34937,1588,-3,-3,-3,20718,4353,3687,666,12236,4881,56407,31721,841,331,27193,3356,1141,2249,21,17761,3514,56407,511,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1995,-3,-3,-3,-3,-3,-3,-3,-3,975,-3,-3,-3,-3,-3,-3,-3,-3,-3,530,482,-1,-1,-1,-1,-1
KY,1896,2026740,-3,-1,-1,27196,235,-3,-3,-3,8794,18167,-3,7756,6871,885,7506,1306,43764,21471,4254,1215,15316,686,479,4518,43,13085,4168,43764,77,61058,2809,-3,-3,-3,46780,11226,7023,4203,19264,3865,95413,50112,7090,1215,36218,5589,737,4518,355,28602,11089,95413,265,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2162,-3,-3,-3,-3,-3,-3,-3,-3,866,-3,-3,-3,-3,-3,-3,-3,-3,-3,261,898,-1,-1,-1,-1,-1
LA,1896,1269703,-3,-1,-1,15496,508,-3,-3,-3,6744,8244,-3,3965,1755,2210,5846,918,26225,17708,2284,0,15032,392,407,1132,0,3760,3218,26225,21,24739,2301,-3,-3,-3,11331,5318,2436,2882,8804,1529,40390,27765,2295,0,21662,3808,597,1132,2,6688,4206,40390,46,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1526,-3,-3,-3,-3,-3,-3,-3,-3,668,-3,-3,-3,-3,-3,-3,-3,-3,-3,463,-1,-1,-1,-1,-1,-1
MA,1896,2563359,-3,-1,-1,250251,466,-3,-3,-3,66101,183684,-3,53352,37900,15452,85649,8584,397836,227208,49346,317,176795,750,4400,29956,280,95418,40574,397836,268,599086,204667,-3,-3,-3,248365,226148,124344,101804,114559,16772,956565,739169,49428,317,233489,455935,4520,29956,1160   1,5893,75867,956565,486,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,14340,-3,-3,-3,-3,-3,-3,-3,-3,5860,-3,-3,-3,-3,-3,-3,-3,-3,-3,2558,5303,-1,-1,-1,-1,-1
