"state","name","totpop","totpop80","urban90","urban80","negtot","multot","quadtot","octopop","chitot","japtot","cindtot","pbnwnpme","pbnwnpnh","pbnwnpvt","pbnwnpma","pbnwnpri","pbnwnpct","pbnwnpny","pbnwnpnj","pbnwnppa","pbnwnpde","pbnwnpmd","pbnwnpdc","pbnwnpva","pbnwnpwv","pbnwnpnc","pbnwnpsc","pbnwnpga","pbnwnpfl","pbnwnpoh","pbnwnpin","pbnwnpil","pbnwnpmi","pbnwnpwi","pbnwnpmn","pbnwnpia","pbnwnpmo","pbnwnpnd","pbnwnpsd","pbnwnpne","pbnwnpks","pbnwnpky","pbnwnptn","pbnwnpal","pbnwnpms","pbnwnpla","pbnwnptx","pbnwnpit","pbnwnpok","pbnwnpar","pbnwnpmt","pbnwnpwy","pbnwnpco","pbnwnpnm","pbnwnpaz","pbnwnput","pbnwnpnv","pbnwnpid","pbnwnpwa","pbnwnpor","pbnwnpca","pbnwnpak","pbnwnpun","pbnwnpse","pbnwnpab","pbnwfpme","pbnwfpnh","pbnwfpvt","pbnwfpma","pbnwfpri","pbnwfpct","pbnwfpny","pbnwfpnj","pbnwfppa","pbnwfpde","pbnwfpmd","pbnwfpdc","pbnwfpva","pbnwfpwv","pbnwfpnc","pbnwfpsc","pbnwfpga","pbnwfpfl","pbnwfpoh","pbnwfpin","pbnwfpil","pbnwfpmi","pbnwfpwi","pbnwfpmn","pbnwfpia","pbnwfpmo","pbnwfpnd","pbnwfpsd","pbnwfpne","pbnwfpks","pbnwfpky","pbnwfptn","pbnwfpal","pbnwfpms","pbnwfpla","pbnwfptx","pbnwfpit","pbnwfpok","pbnwfpar","pbnwfpmt","pbnwfpwy","pbnwfpco","pbnwfpnm","pbnwfpaz","pbnwfput","pbnwfpnv","pbnwfpid","pbnwfpwa","pbnwfpor","pbnwfpca","pbnwfpak","pbnwfpun","pbnwfpse","pbnwfpab","pbncolme","pbncolnh","pbncolvt","pbncolma","pbncolri","pbncolct","pbncolny","pbncolnj","pbncolpa","pbncolde","pbncolmd","pbncoldc","pbncolva","pbncolwv","pbncolnc","pbncolsc","pbncolga","pbncolfl","pbncoloh","pbncolin","pbncolil","pbncolmi","pbncolwi","pbncolmn","pbncolia","pbncolmo","pbncolnd","pbncolsd","pbncolne","pbncolks","pbncolky","pbncoltn","pbncolal","pbncolms","pbncolla","pbncoltx","pbncolit","pbncolok","pbncolar","pbncolmt","pbncolwy","pbncolco","pbncolnm","pbncolaz","pbncolut","pbncolnv","pbncolid","pbncolwa","pbncolor","pbncolca","pbncolak","pbncolun","pbncolse","pbncolab","pbcanada","pbmexico","pbcentam","pbsoamer","pbcubawi","pbenglan","pbscot","pbwales","pbgrbrit","pbirelan","pbgerman","pbaustri","pbhollan","pbbelg","pbluxemb","pbswitz","pbnorway","pbsweden","pbdenmar","pbrussia","pbhungar","pbbohem","pbpoland","pbfrance","pbitaly","pbspain","pbportug","pbgreece","pbasia","pbchina","pbjapan","pbindia","pbafrica","pbatlisl","pbaustra","pbeurns","pbpacifi","pbhawaii","pbturkey","pbsea","pbothfor","dwell1","dwell2","dwell3","dwell4","dwell5","dwell6","dwell7","dwell8","dwell9","dwell10","dwel1115","dwel1620","dwell21","family1","family2","family3","family4","family5","family6","family7","family8","family9","family10","fam1115","fam1620","family21","cerealac","cereals","msingle","mmarried","mwidowed","mdivorce","munkms","fsingle","fmarried","fwidowed","fdivorce","funkms","order","fips","region1","region2","level"
21,"ILLINOIS",3826351,3077871,1485955,732021,40346,13583,1862,1237,740,14,97,5742,4693,10117,13623,1315,6051,76560,9137,60928,1109,8534,589,17448,3320,5642,1014,1177,163,104400,81810,1291464,12862,13928,2082,16440,23104,310,250,2048,6362,44488,24393,1791,1256,967,1267,81,11,1782,139,34,472,68,20,50,75,23,97,156,945,4,21971,144,237,693,321,1226,4694,482,1577,33291,2854,15362,306,2304,533,1388,402,202,238,191,60,20327,13395,881387,8055,17752,2028,7810,12734,224,125,738,1493,3086,1005,277,348,1201,413,24,6,211,66,30,264,39,9,59,34,9,48,53,578,3,4672,86,91,10,5,11,76,14,26,369,53,433,14,505,187,3037,85,706,379,556,61,1319,1144,23437,404,231,33,272,5146,3,2,26,106,7241,5406,945,1363,646,132,30,4,350,3,0,8,7,1,1,0,1,10,1,22,0,1649,0,37,39525,143,31,170,278,70473,20465,4138,37,124498,338382,8087,8762,2601,279,8115,30339,86514,12044,8407,3126,26627,28878,8540,8035,152,255,254,152,778,24,121,78,272,326,836,53,25,52,441,34,15138,68783,96442,106907,102140,82687,62518,44146,28904,20186,27062,8283,6616,20260,98252,130093,137299,125203,95782,68644,44989,27047,17266,10865,1308,1007,14191410,468643860,1221422,697129,47844,3317,2596,1035123,694531,119131,4926,332,21,17,3,2,2
22,"INDIANA",2192404,1978301,400566,244063,31557,10970,1526,1162,92,18,343,961,641,1300,2044,237,1056,15274,3316,34222,952,4850,186,15834,2488,11399,1075,936,74,138752,1350907,23622,8928,1245,511,3933,4808,62,70,567,3143,46734,7299,593,440,287,477,55,2,578,27,9,121,21,4,11,15,2,23,60,223,2,7579,6,37,111,58,177,578,69,251,5596,673,6162,80,843,80,753,198,159,93,67,17,24266,242487,7020,2675,857,198,585,1115,18,15,84,291,4960,488,93,83,331,113,1,0,67,3,2,24,7,0,5,5,3,9,20,88,0,825,22,10,3,0,1,18,0,8,53,11,107,10,115,28,1311,69,1995,182,193,6,1156,21215,474,241,17,10,21,205,0,8,6,24,14590,2104,275,218,100,43,33,0,43,1,6,7,0,1,0,0,0,0,0,7,0,549,0,2,4954,39,13,17,32,11196,2948,888,4,20819,84900,544,1157,733,25,3478,285,4512,718,576,436,288,3114,3297,468,20,25,16,33,91,25,12,17,2,61,253,15,5,3,172,14,10060,55575,79646,84232,73625,55175,38067,24914,14519,8878,6307,581,464,12264,63299,86287,87810,74517,54597,37019,23729,13667,8198,4981,401,377,7341404,178881244,670867,413733,29892,3000,855,584186,413523,71252,4711,385,20,18,3,2,2
23,"MICHIGAN",2093889,1636937,546095,271566,7036,5589,1376,1222,120,38,5624,3649,2249,8263,6441,541,3929,157605,5058,27142,279,937,129,1650,535,237,80,126,44,64102,17822,6305,585461,6938,909,2510,1298,154,131,530,1315,925,453,130,108,137,184,17,1,109,38,15,152,23,14,32,27,8,34,66,389,0,7377,12,1073,673,265,1186,1667,197,593,35116,1282,5481,55,417,61,282,88,60,34,47,43,14921,3469,4897,525964,10449,778,1007,640,106,96,225,409,304,158,30,56,100,120,5,1,36,24,9,123,27,1,23,26,7,12,33,205,0,1019,44,719,10,0,3,33,2,10,390,51,324,76,139,55,787,45,349,72,51,10,1124,724,141,12553,160,17,17,88,1,1,2,17,748,220,54,49,39,9,13,0,9,0,0,1,2,0,0,0,0,0,11,10,0,255,0,54,181416,89,14,75,138,55354,12068,769,34,39065,135509,3639,29410,2232,54,2562,7795,27366,6335,11889,637,2311,15669,5182,3088,61,26,10,73,140,39,70,37,27,122,116,24,7,10,409,9,13277,58843,78773,80191,67822,49408,32887,21567,12917,8449,7756,1402,1078,15536,68648,87436,85218,70003,49518,31987,20330,11699,7583,5225,934,887,3891686,95954009,638209,420700,28482,2805,1584,522867,416304,59080,3493,365,22,26,3,2,2
24,"OHIO",3672316,3198062,1159342,745894,50078,29191,4112,3732,183,22,193,1837,1877,4280,7205,587,5500,40305,6557,96689,981,12326,428,28410,14250,1198,359,675,95,2016098,26044,9428,11593,2056,618,3626,3198,78,60,507,2096,19699,2037,398,447,435,334,152,5,258,28,20,173,80,11,19,27,28,59,77,436,4,10696,7,126,265,127,431,1830,154,784,16622,1529,23554,165,2386,194,2184,2823,89,83,158,33,705347,8679,3114,5306,1229,308,787,1286,20,28,109,356,6632,714,175,172,556,156,60,2,104,6,12,56,30,7,26,3,10,21,11,220,1,2673,72,36,9,3,9,143,4,48,283,35,1081,31,777,182,11116,1646,1986,400,474,45,50568,802,154,317,23,27,20,205,1,0,5,23,12435,1708,452,446,243,66,189,0,84,1,0,0,1,0,0,0,2,7,5,16,0,670,1,28,16515,65,23,112,128,50947,10275,12905,80,70127,235668,5115,1514,870,28,11070,511,2742,956,4576,5431,11009,5937,7171,3857,61,86,59,119,211,26,68,60,11,168,350,19,6,77,329,11,18144,88350,121955,127852,112480,85926,60436,40510,25276,16169,16780,3392,3144,24917,113196,145638,143813,121030,88760,60435,38835,23019,14213,9771,880,784,6785280,191818162,1109172,691197,50209,3567,1591,991349,689347,129443,5717,724,19,39,3,2,2
25,"WISCONSIN",1686880,1315497,424546,212431,1007,782,290,365,119,9,3835,5640,2514,8171,4567,419,2421,52587,1500,12171,126,413,64,893,232,137,59,105,37,14392,5119,9645,5294,289227,4598,4058,1027,447,369,493,650,885,381,97,73,87,68,7,0,66,42,8,118,11,2,18,21,8,19,30,186,0,4927,7,213,1015,259,1220,2184,298,654,17341,967,4865,88,517,64,225,76,27,48,49,19,4573,1459,9718,6245,659323,6216,2908,1208,431,244,305,377,319,147,31,52,119,80,8,0,44,37,28,55,17,0,14,32,9,14,27,184,1,2559,48,87,1,2,6,5,5,3,331,3,31,4,24,10,129,6,34,16,27,8,69,31,61,79,4723,65,20,75,0,0,1,1,128,107,44,37,13,3,2,1,7,0,0,4,0,0,0,0,0,1,0,1,0,75,0,4,33163,20,10,36,52,23628,5494,4297,5,33306,259819,4856,6252,4567,325,7181,65696,20157,13885,2279,486,11999,17660,2009,1123,23,15,19,45,136,9,26,33,19,77,98,27,8,4,354,1,9099,34634,45325,50361,48752,40088,30928,21768,14324,9649,9041,1303,891,10894,42581,52963,55517,51782,40923,30667,20721,13150,8701,6075,759,723,4319002,127002822,545698,304210,22453,1639,951,461884,302859,44685,2179,322,23,55,3,2,2
31,"IOWA",1911896,1624615,269230,152578,7503,2318,585,279,64,1,60,4108,3288,8298,5584,601,3061,51972,3855,52238,553,3637,148,10305,2634,2591,259,250,40,89606,46983,73470,7397,20088,4276,613043,16571,830,1105,5141,5998,8901,3943,194,253,183,338,41,9,380,89,64,430,26,11,126,45,57,81,205,628,4,9790,5,234,430,234,994,1827,214,570,14596,1205,11401,147,1093,80,828,216,93,65,64,21,13004,3938,40593,2875,21468,3778,382581,3639,484,623,1538,962,856,329,62,102,259,112,6,8,52,40,61,158,22,6,164,47,20,25,55,222,1,889,22,108,1,2,9,9,4,3,55,9,45,9,67,19,1646,51,166,62,120,7,124,87,408,43,73,20,3829,2101,0,5,29,55,631,354,102,160,40,13,1,2,62,6,0,5,2,0,0,0,0,0,0,4,0,227,0,6,17465,41,16,26,91,26205,7701,3601,23,37353,127246,1715,7941,384,953,4310,27078,30276,15519,782,213,10928,453,2327,399,189,7,1,36,79,6,40,24,7,112,230,20,8,12,251,1,10151,43939,60276,65024,60631,47877,35033,23622,14792,9834,7082,591,466,11507,48678,64305,67040,61307,47540,34474,22937,14206,9405,6211,491,416,12560890,483198008,619162,349345,23387,1993,566,517787,349983,46625,2880,168,25,19,4,2,2
32,"KANSAS",1427096,996096,165879,55613,36530,10708,1580,892,93,4,736,2783,1588,3981,3927,534,1982,31694,3700,52325,512,4031,206,14521,6136,4927,452,1056,72,101116,90724,109483,10372,8398,2248,56860,66171,174,129,8474,345033,31011,11299,725,771,304,1851,521,22,2412,169,75,1223,159,36,71,80,65,96,237,702,4,6766,5,113,251,147,545,1059,121,378,8861,897,9600,54,969,126,818,444,138,73,63,29,15060,7070,27911,3270,5660,1176,9170,10920,180,71,2542,124635,1552,429,89,93,217,334,92,5,212,40,38,366,69,11,65,41,21,24,53,222,1,324,17,44,6,0,2,13,2,6,80,20,139,7,224,32,1643,47,760,349,480,31,495,344,509,133,67,17,118,6925,1,44,112,17425,7220,6235,793,1780,846,1565,519,0,572,38,3,26,4,1,1,1,5,2,2,12,0,670,1,8,11874,68,10,62,59,18080,5546,2488,6,15870,46423,2384,872,808,32,3820,1786,17096,3136,9801,721,3022,394,2236,616,39,15,4,27,113,3,59,29,18,96,61,25,3,5,130,1,13547,33990,46091,50168,46096,36238,26118,17449,10616,6650,4541,337,245,14186,36586,48591,51543,46477,35947,25736,17082,10280,6373,4072,287,198,10574180,337753689,469428,263173,16991,1756,764,378900,263506,29680,2117,781,30,20,4,2,2
33,"MINNESOTA",1301826,780773,369315,107623,1981,1166,310,226,94,2,1888,10840,3105,6496,5796,441,2052,34443,1446,11570,159,727,168,1522,564,274,73,141,39,13089,7572,11574,5757,21429,146995,9687,1625,978,765,448,569,1901,405,108,151,143,118,58,2,101,91,16,101,23,3,17,14,14,35,46,227,2,6946,8,77,1998,345,1185,2692,328,622,13765,811,4973,65,500,98,283,126,47,29,55,24,5120,2372,13669,5957,37758,405334,11045,1593,1444,796,340,401,591,144,51,106,171,128,15,1,47,90,20,84,7,1,21,12,10,45,46,211,0,2499,41,35,9,2,2,19,3,14,99,4,58,4,53,33,263,10,52,41,62,4,199,94,130,68,182,2206,109,314,111,46,13,18,320,215,82,100,46,18,4,1,47,5,4,0,0,0,0,0,0,8,0,4,0,291,0,1,43580,31,6,62,61,14730,5315,1470,15,28011,116955,5168,1796,910,670,3745,101169,99913,14133,7233,1256,9655,7503,1869,828,36,22,14,57,106,3,71,30,18,111,428,30,3,45,245,53,9036,21011,28577,33586,34192,29317,23664,17891,12135,9012,8980,1195,1082,11321,27590,35595,38699,37267,30305,23323,16931,11095,7963,6293,740,853,6297044,137590535,451683,226159,14992,1071,1416,354126,223463,27475,1178,263,24,27,4,2,2
34,"MISSOURI",2679184,2168380,703743,459369,114739,30966,2932,1547,409,6,127,1775,1064,2118,3450,385,1574,20495,2438,29186,644,5039,401,37949,4678,11670,1518,3239,190,71178,64393,104834,5627,5239,1478,31295,1215955,151,179,3808,26251,87586,60531,3895,2407,1512,4973,722,16,15473,250,67,979,141,36,99,133,73,101,273,1160,4,17779,3,63,262,117,310,1296,155,457,10107,963,8195,88,1290,325,1574,385,284,185,171,47,13266,5916,29115,2108,3485,785,5778,332672,78,37,838,4494,3543,1612,270,427,1700,669,63,1,547,47,34,254,55,15,106,30,9,48,26,332,1,1864,44,1219,11,3,3,34,2,12,87,13,241,11,515,62,5806,71,716,392,585,63,463,254,1636,70,63,28,239,113929,4,0,59,1329,8816,5448,864,2267,1250,627,114,3,1055,3,0,32,11,0,1,10,0,5,0,21,4,2866,35,6,8525,130,19,90,148,18648,4601,1862,27,40966,125461,2660,740,766,55,6765,526,5602,1333,2414,582,3255,1651,4175,2416,78,38,16,58,425,6,85,29,14,106,232,23,10,58,265,9,10769,46589,68555,77227,74843,63015,49107,35364,23313,16463,15313,2831,1931,14594,61162,83486,88863,82685,66602,49804,34421,21549,14824,8616,973,716,9724201,267305096,878806,467600,34569,2231,2032,739428,467892,82989,3201,436,26,29,4,2,2
35,"NEBRASKA",1058910,452402,259048,43521,6091,2155,405,262,214,2,2893,3115,1677,4417,4587,549,2782,33666,3206,34561,512,2541,199,7236,2635,1377,232,495,70,51177,36064,74662,10368,13715,3203,73741,22111,456,475,173224,10013,7202,2943,403,541,265,584,50,8,524,85,240,881,66,26,126,59,81,54,179,657,3,6072,2,107,357,127,551,1359,162,535,10617,986,7741,99,696,95,416,156,79,34,89,25,8467,4074,32925,3486,12691,1853,21584,4180,282,283,130906,2122,647,201,45,96,159,148,8,16,89,47,256,325,16,16,169,27,26,41,50,227,5,744,16,69,5,1,6,15,3,6,62,14,85,5,182,51,542,30,156,48,121,9,159,118,275,32,290,427,561,2299,36,89,3107,647,896,378,137,161,141,56,10,0,60,6,8,23,12,3,3,0,0,1,0,7,0,438,0,3,12105,34,1,43,29,14472,3839,1182,0,15963,72618,4032,1149,262,151,2542,3632,28364,14345,5454,449,16803,2332,1256,717,26,14,10,29,216,8,42,17,17,74,143,18,3,31,97,23,10364,20215,28248,31772,32017,24675,18810,13397,8745,7697,3915,1005,610,10878,22059,30199,33146,33201,24861,18793,13267,8483,7410,3251,835,437,7961969,273337889,368994,190318,11140,1296,1076,278987,187579,17995,1394,131,29,31,4,2,2
36,"NORTH DAKOTA",182719,36909,0,0,153,109,70,41,28,1,194,838,271,788,483,43,233,4856,319,2433,25,123,24,205,151,33,8,17,5,2415,1097,2230,2339,3000,3297,1572,609,8687,70,96,129,243,78,21,28,18,44,3,0,15,42,4,18,9,2,7,1,3,6,13,54,0,365,4,54,121,74,177,400,45,61,1920,112,649,11,49,6,47,16,9,7,6,1,753,287,1443,1631,6864,9724,2983,234,34849,203,86,68,37,23,2,4,31,14,6,2,11,41,9,18,8,1,2,3,1,2,3,34,0,125,6,128,0,0,0,1,0,1,9,1,8,0,5,2,25,2,4,4,5,0,24,0,11,3,5,31,4,22,247,0,0,0,27,12,5,7,1,3,2,0,1,0,0,2,0,0,0,1,0,0,0,1,0,7,0,0,23045,6,3,6,5,3309,1788,108,12,2967,8943,300,288,58,7,256,25773,5583,2860,4098,192,1129,237,203,21,14,1,0,3,28,0,10,6,5,19,104,4,0,24,46,0,4252,4257,5212,5480,5271,4336,3319,2314,1527,1117,646,95,92,4411,4469,5471,5565,5338,4328,3274,2277,1480,1076,605,93,91,3235345,33939074,67698,31611,2025,129,127,47022,31172,2809,106,20,27,38,4,2,2
37,"SOUTH DAKOTA",328808,98268,10177,0,310,164,44,23,195,0,782,1537,760,2088,1106,122,511,13069,539,5912,52,299,50,770,250,142,18,62,7,7488,3981,10764,4176,12281,6377,14741,2252,43,32386,1514,821,698,294,52,66,34,169,9,0,86,41,39,183,20,39,29,26,11,21,52,81,0,1137,0,27,214,53,330,485,61,174,4084,240,1516,25,149,31,78,35,11,18,17,4,1487,878,7074,2897,15847,8956,11367,620,69,50159,853,309,152,65,14,16,50,64,4,1,30,36,77,101,6,6,22,19,8,18,14,99,0,364,3,5,1,0,0,6,0,0,15,0,7,0,9,4,24,4,5,7,16,0,19,8,13,5,18,100,20,97,4,701,17,11,27,37,38,16,6,19,1,0,1,2,3,3,0,0,0,0,1,1,0,1,0,39,0,0,9493,19,1,10,15,5111,1579,695,2,4774,18188,675,1428,183,128,571,19257,7746,4369,12398,321,2488,276,350,269,7,11,1,19,202,0,9,5,6,38,123,203,3,2,79,1,6759,8080,10120,10792,9733,7793,5819,3969,2508,1802,1233,143,143,7044,8690,10573,11081,9859,7801,5781,3876,2440,1735,1105,135,130,3701604,38141603,116151,59647,3818,426,208,84778,58290,5120,328,42,28,46,4,2,2
40,"VIRGINIA",1655980,1512565,221965,148230,512997,107217,9772,5452,55,16,349,393,164,214,676,89,357,3993,1313,5825,622,6709,1311,922153,2719,14854,756,522,131,1785,362,387,423,177,58,175,488,6,3,54,85,2591,4430,389,237,238,288,27,3,136,5,7,22,6,0,2,1,1,37,14,70,0,1434,1,15,37,21,13,238,43,91,1505,233,1552,53,953,313,18367,125,203,51,44,12,252,47,103,209,109,23,25,49,12,4,38,42,68,88,26,18,77,18,3,0,4,0,0,5,0,1,0,4,0,13,1,20,1,55,4,2,5,2,5,58,9,32,143,47,156,38,1308,324,616513,190,14185,492,223,56,96,15,10,3,36,3,5,20,40,0,19,20,149,403,137,110,56,20,14,0,11,1,0,0,1,0,0,0,0,12,0,3,0,696,0,7,780,25,3,52,88,3342,1034,300,13,4578,4361,109,68,22,1,200,102,215,108,407,448,73,67,331,1219,36,47,18,60,57,13,35,16,16,22,68,15,4,10,11,0,8418,25918,37396,41747,42478,37465,31019,24724,17425,14583,10072,1029,380,9694,30641,41971,45146,44531,37939,30856,24193,16722,13858,8207,641,274,2892992,41251260,545753,257559,19895,533,538,509779,258116,61877,1039,891,13,51,5,3,2
41,"ALABAMA",1513017,1262505,89135,45845,601069,65993,7040,4387,48,3,759,242,106,171,415,37,247,1358,216,1430,52,519,60,3786,153,7789,15178,70484,3000,2583,1370,937,420,162,75,210,561,21,11,39,103,2791,19613,646710,8917,1209,1484,32,0,942,3,4,20,7,2,1,3,3,6,16,71,2,2841,0,9,23,13,23,108,18,43,686,100,820,13,166,20,221,44,182,396,835,144,1075,323,402,131,103,47,112,162,9,2,9,86,461,680,14138,344,529,95,7,0,27,0,1,5,8,0,1,2,0,0,3,25,1,43,5,2,5,1,10,20,0,8,42,11,68,15,798,119,11995,33,7520,8781,24556,825,106,48,35,10,2,9,2,138,1,0,0,2,731,4892,607058,5748,548,243,6,0,125,1,0,2,7,319,0,0,0,6,5,11,0,4260,2,2,620,34,4,20,69,2934,1391,398,11,2604,3945,202,26,31,1,169,47,294,71,274,150,25,54,592,322,52,8,55,61,42,3,18,69,3,35,113,7,0,0,18,5,9215,31810,39446,40190,40171,33183,28066,21977,15700,13471,7580,605,188,9811,34326,41746,41709,41022,33269,27873,21692,15319,13141,6765,478,141,2514473,33532443,496308,244803,15008,744,593,450032,245952,58018,1419,140,33,1,6,4,2
42,"ARKANSAS",1128179,802525,55223,13138,269487,33252,4034,2344,92,0,218,256,120,202,304,35,127,2196,296,2755,53,460,55,5180,442,12725,8171,25521,235,7620,12573,18378,1279,598,303,2853,34251,41,41,494,3978,19005,71283,30442,27050,5359,10970,1094,1,467095,20,12,121,22,3,13,21,27,15,55,224,2,6556,1,17,18,10,28,122,27,40,816,83,640,5,95,11,162,22,175,221,195,24,1349,914,1812,440,333,93,335,1831,9,10,111,366,482,1013,284,402,311,341,79,0,10319,5,3,21,2,1,2,0,4,1,4,24,0,106,2,5,5,2,2,33,5,4,27,8,138,10,706,71,6608,51,11741,12733,12010,264,285,128,350,31,15,39,41,1929,1,0,9,72,3216,23645,12539,24058,6746,3311,278,0,182541,0,0,8,2,1,2,0,4,1,0,7,0,5459,6,115,947,27,2,18,25,1569,430,130,1,2021,6225,185,87,29,2,608,60,333,125,87,35,97,277,428,187,4,7,1,5,77,0,3,25,2,27,136,5,0,4,33,0,5103,21390,29223,31044,31410,26491,21936,16464,11408,8898,5327,389,107,5373,23305,31117,32223,32288,26623,21881,16280,11071,8213,4865,284,97,2080203,39140112,381345,188093,14530,873,914,317726,187504,35648,1277,269,38,5,7,4,2
43,"FLORIDA",391422,269493,47031,9890,146423,16510,2203,1044,108,14,171,803,416,486,1382,161,786,3617,589,1697,71,495,74,1494,138,3128,6984,22230,122069,2062,1204,1315,635,305,151,481,679,13,9,75,330,1871,1475,10058,1351,554,571,6,0,242,9,4,21,3,3,1,12,0,13,16,49,1,847,1,11,85,28,28,264,29,104,1061,128,405,20,117,18,107,14,115,282,361,9939,323,138,297,164,131,91,112,114,7,4,27,57,116,64,342,57,337,92,0,0,14,2,0,4,5,1,1,0,0,2,0,19,1,135,6,5,11,7,3,32,7,12,65,14,74,8,277,32,2154,14,3511,10781,13981,122170,54,17,21,3,0,2,1,41,0,0,0,3,162,293,5705,345,246,32,2,0,19,0,0,0,2,0,2,0,0,3,1,2,0,1608,1,1,1151,99,9,218,12282,2754,570,56,11,1056,1855,66,42,28,0,135,179,529,105,122,29,5,26,275,408,389,35,36,11,105,15,36,50,83,26,87,18,8,11,12,0,5079,10190,12066,11622,10864,8543,6895,5043,3491,3058,1743,178,44,5323,10815,12578,11836,10980,8508,6819,4957,3434,2980,1623,164,42,421822,4106518,129656,66955,4694,344,298,108189,67024,13487,583,192,18,12,5,3,2
44,"GEORGIA",1837353,1542180,199169,112881,773682,72072,8795,4266,108,5,68,348,150,268,613,131,412,1827,461,935,80,600,103,3103,74,15641,28232,858819,3866,1212,485,480,277,102,65,136,277,14,2,36,76,1148,8469,12486,902,435,729,17,2,480,5,0,33,5,3,0,0,3,5,7,56,4,3161,1,6,34,21,28,158,58,64,1076,112,358,16,127,34,171,7,254,963,14415,186,263,102,121,81,41,18,39,54,1,0,2,15,113,257,245,49,88,28,0,0,13,0,1,3,0,0,1,1,1,3,3,24,0,29,3,2,10,0,0,42,2,13,38,14,50,15,532,74,7303,31,15300,20777,798747,3198,42,21,12,8,3,4,0,46,0,0,1,6,238,1056,6720,625,144,79,8,1,37,0,0,0,1,0,1,0,1,0,0,4,0,3546,1,0,609,18,0,32,119,1585,619,108,0,3374,3679,101,29,31,1,178,88,191,61,282,62,35,38,306,159,65,14,49,13,82,1,9,57,19,14,94,1,2,3,9,0,11512,39492,48495,49345,48125,40605,33685,26243,18684,15447,10128,816,297,12796,43783,52092,51427,49193,40748,33353,25707,18145,14933,9020,611,251,3317665,35221791,603249,298594,16823,579,680,543369,302097,69125,1551,1286,17,13,5,3,2
45,"LOUISIANA",1118587,939946,264496,224099,468240,76840,8597,5516,333,39,627,226,84,137,382,34,149,1632,163,813,44,428,50,1281,79,1151,2059,6366,526,1124,784,907,291,219,99,659,930,22,21,81,243,1562,1779,10201,14692,354830,4590,44,0,2680,3,1,25,16,0,1,6,2,1,11,52,2,1590,3,15,39,7,9,126,16,35,983,63,313,9,58,10,111,11,30,573,126,64,266,169,272,100,107,38,175,434,9,14,26,66,257,135,467,1082,89400,539,5,0,102,1,1,10,7,0,2,1,0,2,2,43,4,122,21,3,18,3,8,55,5,18,91,19,119,30,2302,191,12290,64,9444,4630,6025,711,209,62,134,15,26,9,12,1074,0,3,21,32,3095,2627,10813,18997,478655,3583,37,5,1769,0,0,2,4,1,4,4,2,11,2,12,0,2030,3,9,762,404,100,78,648,2456,465,99,1,9236,14625,571,76,275,2,521,136,328,232,345,66,14,100,8437,7767,889,112,44,9,334,19,15,82,27,36,270,73,6,16,59,12,7615,22650,27304,28437,28663,23949,20119,15888,11685,10519,6531,730,251,8910,26438,30662,30782,30464,24615,20131,15497,11065,9764,5302,383,110,864694,13380454,365865,178220,13372,632,1261,327686,179458,50270,1193,630,35,22,7,4,2
46,"MISSISSIPPI",1289600,1131597,34098,11814,657393,72945,8039,4182,147,7,2036,76,40,67,139,21,62,629,108,460,22,249,29,2663,51,6624,9012,9340,351,813,648,836,237,100,52,143,666,5,1,36,87,2064,11910,32717,429328,5217,1462,19,0,1708,1,4,5,5,1,3,0,2,0,5,41,9,2281,0,5,19,4,15,44,9,16,391,27,164,5,42,13,88,9,104,274,149,29,224,112,219,89,40,7,49,184,2,1,4,14,153,331,714,11342,1633,89,1,0,60,0,1,8,2,0,1,0,0,0,1,7,0,77,3,3,5,2,5,19,2,5,54,6,134,18,1480,106,15878,37,16585,9802,10756,330,217,92,163,24,31,18,34,1115,0,0,13,36,3630,11474,30219,622996,10344,650,14,0,2790,0,0,8,0,1,0,0,2,0,4,5,0,5415,1,1,345,31,11,8,39,884,203,21,3,1865,2284,144,25,14,1,111,54,305,90,120,41,6,74,449,425,61,5,9,3,106,1,13,48,0,7,122,2,0,0,21,1,7543,24841,31836,33070,33187,28053,23928,18919,13985,12618,6945,644,87,8080,27137,33954,34544,34363,28162,23816,18557,13616,12061,6335,451,72,1842774,27531768,431069,202798,14778,581,461,384334,204194,49616,1233,536,34,28,6,4,2
47,"NORTH CAROLINA",1617947,1399750,62544,26615,483817,65687,5897,5617,32,1,1514,150,65,79,321,31,189,791,225,783,79,604,69,10415,86,1010159,8842,2801,150,271,254,125,92,45,12,50,112,6,2,16,66,346,4481,382,248,90,220,5,0,144,1,1,13,2,0,3,0,0,1,2,28,0,1623,2,1,11,4,9,45,6,34,278,52,165,5,92,21,230,3,5670,245,44,20,67,21,20,49,6,3,7,11,0,0,1,0,12,42,22,5,11,4,0,2,0,0,0,2,0,0,0,2,1,0,2,2,0,9,1,1,2,0,4,21,1,3,30,13,50,9,138,33,6933,15,545640,6985,462,46,38,6,1,3,2,0,0,13,0,0,0,2,32,293,177,147,30,15,5,0,11,1,0,0,1,0,0,0,0,0,0,4,0,1358,0,1,355,8,2,7,28,882,381,23,0,451,1077,15,7,3,0,82,13,51,26,86,3,11,9,55,28,2,11,1,2,13,0,12,11,8,9,13,6,0,3,7,1,10359,31348,41850,44200,43289,37266,31110,23751,16601,12558,8674,411,154,10976,33673,44067,45448,44165,37421,31093,23410,16245,12087,7934,305,128,3627585,34880901,529705,253635,15074,378,357,502554,257919,56889,836,600,15,37,5,3,2
