"","state","name","chorgtot","cheditot","chsittot","chvaltot","orgrbapt","edirbapt","sitrbapt","valrbapt","orgobapt","ediobapt","sitobapt","valobapt","orgchris","edichris","sitchris","valchris","orgcong","edicong","sitcong","valcong","orgepisc","ediepisc","sitepisc","valepisc","orgevang","edievang","sitevang","valevang","orgquakr","ediquakr","sitquakr","valquakr","orgjewis","edijewis","sitjewis","valjewis","orgluth","ediluth","sitluth","valluth","orgmeth","edimeth","sitmeth","valmeth","orgmisc","edimisc","sitmisc","valmisc","orgmorav","edimorav","sitmorav","valmorav","orgmormo","edimormo","sitmormo","valmormo","orgswed","ediswed","sitswed","valswed","orgrpres","edirpres","sitrpres","valrpres","orgopres","ediopres","sitopres","valopres","orgdutcr","edidutcr","sitdutcr","valdutcr","orggermr","edigermr","sitgermr","valgermr","orgrcath","edircath","sitrcath","valrcath","orgseadv","ediseadv","sitseadv","valseadv","orgshake","edishake","sitshake","valshake","orgspiri","edispiri","sitspiri","valspiri","orgunita","ediunita","situnita","valunita","orgubret","ediubret","situbret","valubret","orgunive","ediunive","situnive","valunive","orglmiss","edilmiss","sitlmiss","vallmiss","orgunion","ediunion","situnion","valunion","occtot","occm1015","occf1015","occm1659","occf1659","occm600","occf600","occnat","occgerm","occirish","occenglw","occscot","occscand","occfranc","occothne","occitaly","occothse","occbram","occchjap","occotfb","agemp","agm1015","agf1015","agm1659","agf1659","agm600","agf600","agnat","aggerm","agirish","agenglw","agscot","agscand","agfranc","agothne","agitaly","agothse","agbram","agchjap","agotfb","ppsemp","ppsm1015","ppsf1015","ppsm1659","ppsf1659","ppsm600","ppsf600","ppsnat","ppsgerm","ppsirish","ppsenglw","ppsscot","ppsscand","ppsfranc","ppsothne","ppsitaly","ppsothse","ppsbram","ppschjap","ppsotfb","ttremp","ttrm1015","ttrf1015","ttrm1659","ttrf1659","ttrm600","ttrf600","ttrnat","ttrgerm","ttrirish","ttrenglw","ttrscot","ttrscand","ttrfranc","ttrothne","ttritaly","ttrothse","ttrbram","ttrchjap","ttrotfb","mfgemp","mfgm1015","mfgf1015","mfgm1659","mfgf1659","mfgm600","mfgf600","mfgnat","mfggerm","mfgirish","mfgenglw","mfgscot","mfgscand","mfgfranc","mfgothne","mfgitaly","mfgothse","mfgbram","mfgchjap","mfgotfb","stdebt","stdebtb","stdebtot","codebtb","codebtot","locdebtb","locdebto","taxtot","taxstate","taxcoun","taxlocal","fips","region1","region2","level"
"34",54,"TENNESSEE",3180,2842,878524,4697675,942,877,245151,843675,45,41,10225,16400,203,167,55455,244625,3,2,525,14100,33,31,12940,269573,0,0,0,0,5,4,1900,4800,4,4,1100,21000,22,22,9875,27664,1339,1155,336433,1506153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,241,83590,858105,294,271,105380,400230,0,0,0,0,0,0,0,0,21,21,13850,486250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,1600,4100,0,0,0,0,0,0,0,0,0,1,500,1000,367987,34091,7365,268463,35192,20031,2845,358262,2495,4200,1118,318,186,289,269,250,292,255,4,49,267020,30877,4240,200298,13114,16778,1713,265541,322,632,151,59,43,37,90,34,59,38,0,14,54396,2498,3024,26092,20250,1487,1045,51978,381,1503,163,38,49,73,26,82,45,42,0,16,17510,297,1,16798,84,322,8,15008,762,1091,180,56,23,64,71,94,104,44,4,9,29061,419,100,25275,1744,1444,79,25735,1030,974,624,165,71,115,82,40,84,131,0,10,48827191,31892144,6647658,2283042,446617,5534050,2023680,3381579,1056261,1302836,1022482,47,6,4,2
"35",56,"WEST VIRGINIA",1529,1018,297315,1835720,302,205,58400,191805,23,18,4450,9050,36,23,6400,37550,0,0,0,0,21,19,7355,166500,2,1,300,1000,0,0,0,0,1,0,0,0,22,21,7300,93300,879,552,152865,723015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,76,27320,328050,2,0,0,0,0,0,0,0,2,2,600,15000,40,37,16800,221950,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,52,13800,42450,4,1,300,1000,0,0,0,0,11,11,1425,5050,115229,5608,604,94070,7324,7398,225,107490,2936,3057,958,310,13,87,57,14,217,38,0,52,73960,4839,33,62816,167,6070,35,72199,607,773,176,49,1,31,32,6,62,13,0,11,16699,327,553,8858,6353,451,157,15094,498,839,123,31,3,11,8,8,62,6,0,16,6897,63,0,6687,9,138,0,5670,384,674,106,22,3,8,6,0,14,3,0,7,17673,379,18,15709,795,739,33,14527,1447,771,553,208,6,37,11,0,79,16,0,18,561767,NA,0,251733,78100,205872,26062,1722158,734722,555885,431551,54,5,3,2
"36",61,"ARIZONA",4,4,2400,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2400,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6030,88,30,5578,255,68,11,2420,355,446,117,45,12,54,36,14,64,85,14,2368,1285,10,0,1263,1,11,0,533,49,36,14,6,3,7,3,2,13,20,0,599,3115,68,28,2859,99,52,9,1167,189,328,67,24,1,28,15,7,31,37,13,1208,591,1,0,585,2,2,1,306,41,28,11,6,2,8,13,3,9,5,1,158,1039,9,2,871,153,3,1,414,76,54,25,9,6,11,5,2,11,23,0,403,10500,0,0,4000,6500,0,0,31323,7782,23541,0,4,8,5,2
"37",62,"COLORADO",55,47,17495,207230,5,4,855,11090,0,0,0,0,2,0,0,0,4,4,1050,28200,9,8,2000,46040,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,13,3815,50800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,1200,21800,0,0,0,0,0,0,0,0,0,0,0,0,14,13,8575,49300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17583,246,22,16748,409,153,5,13117,1012,1230,957,137,167,136,54,13,153,294,7,306,6462,203,0,6147,0,112,0,5593,229,165,143,34,34,31,11,5,38,89,0,90,3625,41,22,3183,353,21,5,2683,220,345,120,14,39,39,6,3,34,46,6,70,2815,1,0,2804,2,8,0,1941,198,340,87,33,21,27,26,2,41,64,1,34,4681,1,0,4614,54,12,0,2900,365,380,607,56,73,39,11,3,40,95,0,112,681158,0,0,620000,58829,0,2329,362197,63425,267201,31571,8,8,5,2
"38",63,"IDAHO",15,12,2150,18200,2,2,175,2000,0,0,0,0,0,0,0,0,0,0,0,0,6,4,600,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,800,1200,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,575,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10879,33,0,10683,125,38,0,3824,529,885,546,90,179,119,19,9,92,286,4150,151,1462,28,0,1412,0,22,0,1046,42,64,182,9,37,7,1,2,8,51,10,3,1423,5,0,1300,113,5,0,700,115,154,67,17,25,12,1,3,15,38,247,29,721,0,0,716,1,4,0,448,77,44,20,5,11,18,7,1,14,25,30,21,7273,0,0,7255,11,7,0,1630,295,623,277,59,106,82,10,3,55,172,3863,98,222621,0,0,33739,184783,2542,1557,174711,40594,132171,1946,16,8,5,2
"39",64,"MONTANA",15,11,3850,99300,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,700,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,1450,16800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1700,77000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14048,1,4,13846,165,30,2,7290,1098,1436,697,205,268,166,67,27,132,1034,1584,44,2111,0,0,2101,1,9,0,1478,96,165,118,25,45,19,2,3,20,138,0,2,2674,1,4,2504,153,10,2,1465,294,326,122,39,23,40,11,14,34,138,151,17,1233,0,0,1230,1,2,0,844,117,50,37,11,12,25,27,1,13,81,13,2,8030,0,0,8011,10,9,0,3503,591,895,420,130,188,82,27,9,65,677,1420,23,278719,0,0,77706,198513,0,2500,198527,38131,157396,3000,30,8,5,2
"40",65,"NEVADA",32,19,8000,212000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1100,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,2550,50500,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,3,1100,18500,0,0,0,0,0,0,0,0,0,0,0,0,10,6,3250,113000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26911,41,8,26307,428,120,7,12535,1831,3546,2268,448,422,391,121,143,366,1754,2679,407,2070,4,1,2041,6,18,0,1412,125,118,131,41,51,22,3,14,8,92,27,26,7431,32,6,7079,266,41,7,2541,421,792,264,88,74,107,48,54,198,554,2160,130,3621,3,0,3603,0,15,0,2274,400,189,107,40,39,38,29,23,45,162,163,112,13789,2,1,13584,156,46,0,6308,885,2447,1766,279,258,224,41,52,115,946,329,139,1986093,500000,142894,576927,410496,327776,28000,820308,298411,498062,23835,32,8,5,2
"41",66,"NEW MEXICO",158,152,81560,322621,1,1,300,800,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,300,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,250,7000,0,0,0,0,0,0,0,0,0,0,0,0,152,149,80710,313321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29361,994,301,23633,2617,1654,162,26356,539,489,119,32,25,106,16,24,49,31,0,1575,18668,682,1,16262,176,1488,59,18127,48,27,7,1,2,15,0,2,4,0,0,435,7535,292,196,5128,1703,122,94,5819,264,347,70,19,14,61,7,13,26,16,0,879,863,11,0,839,0,13,0,605,123,19,13,1,1,9,5,6,11,1,0,69,2295,9,104,1404,738,31,9,1805,104,96,29,11,8,21,4,3,8,14,0,192,7560,0,0,0,7560,0,0,61014,34115,26101,798,35,8,5,2
"42",67,"UTAH",165,164,86110,674600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,460,30800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,300,1200,0,0,0,0,0,0,0,0,160,161,85350,642000,0,0,0,0,1,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21517,597,235,18885,812,960,28,8976,321,345,7134,1021,2825,41,153,21,140,131,73,336,10428,363,4,9459,7,595,0,4542,57,76,3354,465,1577,5,58,2,81,59,0,152,5317,198,222,4021,685,165,26,2126,60,121,1801,269,688,15,44,4,25,11,73,80,1665,19,5,1619,12,10,0,1004,77,47,329,54,54,5,10,2,6,21,0,56,4107,17,4,3786,108,190,2,1304,127,101,1650,233,506,16,41,13,28,40,0,48,0,0,0,0,0,0,0,167355,39402,80419,47534,49,8,5,2
"43",68,"WYOMING",12,12,3500,46000,1,1,300,4000,0,0,0,0,0,0,0,0,1,1,300,4000,3,3,750,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,600,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,750,12000,0,0,0,0,0,0,0,0,0,0,0,0,2,2,800,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6645,1,3,6337,296,7,1,3716,616,961,444,197,151,51,20,7,83,268,121,10,165,0,0,163,1,1,0,136,4,6,7,5,0,2,0,1,0,4,0,0,3170,0,3,2895,268,3,1,1716,314,640,142,47,57,27,8,4,51,98,60,6,1646,1,0,1645,0,0,0,986,150,182,72,43,44,9,8,2,13,72,61,4,1664,0,0,1634,27,3,0,878,148,133,223,102,50,13,4,0,19,94,0,0,0,0,0,0,0,0,0,34471,6163,28308,0,56,8,5,2
