"state","name","whpbal","whpbar","whpbca","whpbco","whpbct","whpbde","whpbfl","whpbga","whpbil","whpbin","whpbia","whpbks","whpbky","whpbla","whpbme","whpbmd","whpbma","whpbmi","whpbmn","whpbms","whpbmo","whpbne","whpbnv","whpbnh","whpbnj","whpbny","whpbnc","whpboh","whpbor","whpbpa","whpbri","whpbsc","whpbtn","whpbtx","whpbvt","whpbva","whpbwv","whpbwi","whpbak","whpbaz","whpbsd","whpbdc","whpbid","whpbit","whpbmt","whpbnm","whpbut","whpbwa","whpbwy","whpbsea","colpbal","colpbar","colpbca","colpbco","colpbct","colpbde","colpbfl","colpbga","colpbil","colpbin","colpbia","colpbks","colpbky","colpbla","colpbme","colpbmd","colpbma","colpbmi","colpbmn","colpbms","colpbmo","colpbne","colpbnv","colpbnh","colpbnj","colpbny","colpbnc","colpboh","colpbor","colpbpa","colpbri","colpbsc","colpbtn","colpbtx","colpbvt","colpbva","colpbwv","colpbwi","colpbak","colpbaz","colpbsd","colpbdc","colpbid","colpbit","colpbmt","colpbnm","colpbut","colpbwa","colpbwy","colpbsea","pbafrica","pbasia","pbatlisl","pbaustrl","pbaustri","pbbelg","pbbohem","pbbritam","pbcanada","pbnbruns","pbnfld","pbnoscot","pbpei","pbbramns","pbcentam","pbchina","pbcuba","pbdenmar","pbeurns","pbfrance","pbgerm","pbbaden","pbbavar","pbbruns","pbhambg","pbhanov","pbhessen","pblubeck","pbmeckl","pbnassau","pboldenb","pbpruss","pbsaxony","pbweimar","pbwurtt","pbgerns","pbgibral","pbgrbrit","pbengl","pbirelan","pbscot","pbwales","pbgrbrns","pbgreece","pbgreenl","pbhollan","pbhung","pbindia","pbitaly","pbjapan","pbluxemb","pbmalta","pbmexico","pbnorway","pbpacisl","pbpoland","pbportug","pbrussia","pbhawaii","pbsoamer","pbspain","pbsweden","pbswitz","pbturkey","pbwesind","pbsea","fnatmfor","fformnat","fornpar","forpar","fathirl","mothirl","fathgerm","mothgerm","fathbrit","mothbrit","fathscan","mothscan","fathbram","mothbram","fathoth","mothoth","puselhs","puselhsc","pushigh","schbldg","pussit","schprop","pusrcpt","pusrcpt1","pusrcpt2","pusexp","pusexp1","pusexp2","pusexp3","teachwhm","teachwhf","teachcom","teachcof","teachmo","teachyr","teachser","schmos","pupils","pupilwh","pupilwhm","pupilwhf","pupilco","pupilcom","pupilcof","attend","attendwh","attendco","newswagy","newswagw","newsmfgm","newsmfgf","newsedit","newspaps","newspdam","newspdae","newspwk","newspwk2","newspwk3","newspwkb","newspmo","newspmo2","newspmo3","newspmob","newspmoq","newspmos","newscird","newsciro","newsnews","newsrelg","newsagri","newscomm","newsfin","newsinrr","newslit","newsmedi","newslaw","newstech","newsorgs","newseduc","newskids","newsmisc","newssund","newsbohe","newscata","newschin","newsengl","newsfren","newsgerm","newsdutc","newsindn","newsirsh","newsital","newspols","newsport","newsscan","newsspan","newswels","newsbapt","newschri","newscong","newsdisp","newsdunk","newsepis","newsevan","newsquak","newsjewi","newsluth","newsmenn","newsmeth","newsmorv","newsmorm","newspres","newsprim","newsrefo","newscath","newssadv","newsspir","newsswed","newsunit","newsubre","newsuniv","newsnosc","rrmile80","debtearl","debt60","debt61","debt62","debt63","debt64","debt65","debt66","debt67","debt68","debt69","debt70","debt71","debt72","debt73","debt74","debt75","debt76","debt77","debt78","debt79","debt80","debtns","mfgmale","mfgfem","mfgm1015","mfgf1015","mfgm1659","mfgf1659","mfgm600","mfgf600","mfgnb","mfgirel","mfggerm","mfgbrit","mfgscan","mfgbram","mfgothfb","cotmfg31","cotmfg50","cotmfg60","cotmfg70","cotmfg80","cotmal31","cotmal50","cotmal60","cotmal70","cotmal80","cotfem31","cotfem50","cotfem60","cotfem70","cotfem80","cotkid31","cotkid50","cotkid60","cotkid70","cotkid80","cotcap31","cotcap50","cotcap60","cotcap70","cotcap80","cotwag31","cotwag50","cotwag60","cotwag70","cotwag80","cotlbs31","cotlbs50","cotlbs60","cotlbs70","cotlbs80","cotrms31","cotrms50","cotrms60","cotrms70","cotrms80","cotout31","cotout50","cotout60","cotout70","cotout80","cotval31","cotval50","cotval60","cotval70","cotval80","irst80","irstcap","irstemp","irstmale","irstmkid","irstfem","irstfkid","irsthour","irstwags","irstwagu","irstwage","irstrms","irstval","irsttons","fips","region1","region2","level"
21,"ILLINOIS",2305,2108,960,250,9401,1578,124,1512,1690556,90751,16382,4298,55965,1843,7429,11872,20413,12746,2032,1665,34395,993,82,6580,14597,119917,8641,136208,470,89137,2090,1750,32812,1214,14568,25026,2649,21488,0,16,91,737,19,167,55,80,127,25,37,11,1014,362,9,0,16,18,40,435,18964,637,173,52,5955,629,22,524,68,239,30,1401,5098,11,0,2,39,282,638,676,4,330,10,372,4588,88,25,2878,69,269,0,1,0,123,1,16,8,2,1,0,0,4,57,35,431,208,2608,1464,13408,34043,32131,695,138,820,224,35,8,299,69,6029,141,8524,235786,11936,13651,667,799,17960,8564,25,7126,924,1312,87189,4395,39,7715,73484,6,193202,56318,117343,15645,3694,202,71,40,5012,691,85,1764,10,1610,15,67,16970,43,6962,424,1276,39,83,243,42415,8881,110,167,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15203,76,113,11880,694106,15876572,9850011,7308513,2541498,7536682,4587046,572801,2376835,6148,9718,31,15,38.7799987792969,288.269989013672,118276,112508,704041,698561,360087,338474,5480,2652,2828,431643,428374,3269,1480435.375,1256282,4708,491,1384,1017,30,44,758,17,6,3,118,18,1,0,21,1,270923,2150352,736,49,15,55,1,10,9,8,5,5,13,19,47,45,13,4,0,0,920,1,70,0,0,0,0,2,0,20,0,0,4,0,1,2,0,2,0,0,1,3,0,5,0,1,2,0,1,6,1,1,1,0,1,2,15,7562.39013671875,1727600,25000,846500,0,493000,269000,2086200,656148,2208640,2182100,3700490,5344100,1946157,2833750,499909,467691,1392202,925166,1809060,1543775,1830270,1997800,6637311,177471,28099,3228,1557,168092,26299,6151,243,116492,12297,36391,15454,10475,5012,9449,0,0,3,5,2,0,0,10,26,60,0,0,1,31,88,0,0,0,41,82,0,0,4700,151000,240000,NA,NA,2640,25500,47885,0,0,95000,857000,1099130,NA,0,11930,177525,142183,0,NA,NA,739000,917634,NA,0,18987,279000,219861,21,6460620,5253,4887,366,0,0,63,3.4300000667572,1.26999998092651,2508718,14977145,20545289,417967,17,3,2,2
22,"INDIANA",652,524,266,74,1834,1581,81,1086,26866,1337852,4578,2093,60963,752,1162,7291,3187,8936,531,496,5488,323,17,871,5437,26373,17717,185300,209,51126,373,1417,9579,404,2205,22975,1941,1740,0,8,25,280,19,32,6,25,47,11,8,3,240,39,1,1,3,12,20,198,335,16713,12,43,12965,122,3,138,8,252,6,186,200,0,2,8,11,133,3167,1091,1,108,4,210,1390,27,6,1563,47,44,0,0,0,27,7,4,2,1,0,0,9,0,11,12,3,37,511,503,306,5569,5213,105,25,108,108,10,12,41,11,583,178,4473,80756,5853,8116,152,172,5931,1807,2,2240,478,622,24521,1285,5,4703,24869,0,40508,11093,25741,2731,927,16,2,2,1368,77,11,198,5,130,11,28,182,21,917,39,320,83,34,24,3121,3695,166,41,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11623,121,285,9679,437050,11907541,7267700,4286209,2981491,4504407,3175275,387284,941848,6862,4923,76,45,38.9000015258789,266.690002441406,81621,79329,512201,504231,266077,238154,7970,4009,3961,320577,315590,4987,403443,342407,1978,115,583,467,12,28,390,1,3,1,27,5,0,0,0,0,72698,588413,422,13,7,2,0,1,0,2,0,2,6,9,0,3,12,0,0,0,435,0,32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,3,4320.60986328125,44395,0,139000,0,0,0,0,0,74500,504000,440050,1071500,1045950,512000,4960183,571050,984250,934000,1271700,1305615,1854407,686500,394978,98696,11431,1850,324,92513,10926,4333,181,89974,2419,11646,3299,391,653,1745,0,2,2,4,4,0,38,177,119,193,0,57,190,179,391,0,0,0,206,124,0,43000,251000,551500,1090000,NA,NA,84888,113200,162829,0,303750,1813944,2070318,6364887,NA,28220,229925,542875,651434,0,NA,NA,1779481,5238020,NA,86660,344350,778047,1155029,12,2283000,2048,1883,165,0,0,67,3.21000003814697,1.23000001907349,864921,3293073,4551403,96117,18,3,2,2
23,"MICHIGAN",143,81,394,90,6314,543,58,141,9581,17453,2643,877,922,223,5066,1253,9567,789445,856,185,1312,294,28,3300,7859,229240,613,75876,43,35745,967,120,526,194,12561,2097,207,10717,0,3,56,166,0,20,16,173,68,66,16,9,88,14,3,0,19,99,6,72,118,763,39,15,810,36,13,180,24,13861,3,58,104,0,0,0,44,417,427,1177,1,319,7,93,238,43,27,972,65,58,0,0,0,49,0,32,0,2,2,0,1,3,17,14,22,106,1025,979,1789,148866,145968,1582,78,979,241,18,27,163,19,3513,39,3203,89085,3587,5210,95,170,1505,1768,4,6064,230,52,35775,2127,13,7442,25043,3,98240,43202,43413,10731,830,64,4,0,17177,193,53,555,0,450,11,34,3520,30,5421,18,1560,12,64,39,9412,2474,15,107,249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8608,18,132,6412,446310,8982344,3792740,2672876,1119864,3112468,1920618,356237,835613,2496,6098,6,8,29.0499992370605,223.119995117188,66095,66095,362459,360822,180286,180536,1637,850,787,263775,262889,886,385048,344625,1669,172,598,464,13,20,397,3,3,2,19,4,0,1,1,1,62839,558135,413,11,5,3,0,0,1,7,0,2,5,9,4,4,9,0,0,0,439,2,15,6,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,3,0,0,0,0,0,1,3712.51000976562,451475,50000,24000,0,0,0,0,80500,103300,317263,365900,507500,221000,484200,944692,591800,669900,404258,108047,129800,367843,107783,3873032,118284,12629,1765,433,112251,11974,4268,222,74058,5226,13559,9598,3246,19685,5541,NA,NA,NA,NA,1,0,0,0,0,34,0,0,0,0,38,0,0,0,0,14,0,0,0,0,20000,NA,NA,0,0,16800,0,0,0,0,300000,NA,0,0,0,41000,0,NA,NA,0,250000,NA,0,0,0,70000,22,4175386,3089,3054,35,0,0,70,1.91999995708466,1.25,922597,3279420,4591613,142716,26,3,2,2
24,"OHIO",361,205,485,84,8971,1638,86,435,9911,26596,4575,1384,20980,972,2370,19330,10802,11176,607,511,3661,342,32,2622,10440,63771,1486,2317054,61,137031,877,549,2172,282,6996,39560,11723,2457,0,19,25,593,20,81,32,63,112,20,21,1,366,89,2,3,32,33,25,374,102,606,34,60,11512,263,16,761,52,227,7,532,212,0,0,4,47,367,2485,44383,2,1132,12,419,1598,102,68,12087,1089,270,0,0,0,137,1,8,1,5,0,9,0,3,40,32,203,135,1681,754,6232,16146,15202,304,61,366,154,59,10,157,43,642,434,10136,192597,20421,24444,378,594,14381,10994,11,4468,830,2473,41093,3235,7,15258,54010,1,143267,41555,78927,8946,13763,76,22,3,2455,1477,45,1064,3,484,17,43,178,11,2039,38,610,45,91,81,1186,11989,101,191,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16424,220,348,12224,676664,21643515,11085315,6784020,4301295,7707630,4972541,711835,2023254,7913,8740,126,96,37.7900009155273,294.660003662109,131593,127944,752442,740713,389086,351627,11729,5907,5822,495924,487126,8798,1082455,678583,3995,237,1081,774,22,34,584,4,8,3,90,18,0,0,11,0,216336,2877595,576,57,12,21,0,3,2,11,4,4,12,19,37,16,26,1,0,0,683,1,89,0,0,0,0,0,0,0,0,0,4,1,1,2,1,1,8,2,3,3,0,6,0,0,1,0,2,9,0,0,0,0,4,1,8,5415.330078125,5045861,15800,0,4077140,98000,3000,17712,21137,523500,1101500,1587107,1282000,1718014,11908900,1559205,3052400,1589250,7046195,2048640,2489552,2283821,109255,6076518,210362,31932,6106,1795,193762,29620,10494,517,172097,8209,35673,15649,376,3145,7145,0,8,8,7,4,0,132,372,216,124,0,269,468,147,320,0,0,0,99,37,0,297000,265000,555700,670000,NA,NA,151164,113520,104500,0,1921500,3192500,2226400,2506182,NA,237060,374100,493704,286692,0,NA,NA,1918000,1993182,NA,594204,723500,681835,637000,134,25141294,20071,18885,1171,0,15,66,2.89000010490417,1.29999995231628,8265070,23997915,34918360,930141,39,3,2,2
25,"WISCONSIN",125,50,233,121,4226,266,46,171,16409,6186,5013,453,1316,217,7860,930,8272,6908,5642,128,1728,350,37,3777,2902,86402,267,20468,65,19074,910,121,592,113,12553,1372,163,688438,0,7,114,119,15,12,21,14,69,9,10,6,38,13,0,0,9,1,3,26,62,21,5,0,94,14,1,25,2,25,30,31,57,1,1,1,5,186,29,44,0,25,3,18,101,1,1,147,2,4739,0,0,2,7,0,0,0,0,0,0,1,1,29,7,22,228,4601,5267,13848,28965,25682,1932,120,731,463,37,15,60,30,8797,111,2412,184328,4662,9600,349,247,4518,4082,12,9315,472,418,111482,5714,60,3594,29803,5,78057,24916,41907,5770,5352,112,13,5,5698,447,23,253,10,2232,35,30,49349,76,5263,13,312,30,37,21,8138,6283,29,62,284,29906,64415,1856,856828,131898,126251,446638,431712,96097,86191,102407,102519,44939,43015,99264,97046,6588,0,92,5685,325854,5287570,2701413,1920382,781031,2163845,1570997,149971,442877,2027,4973,0,0,29.9599990844727,224.419998168945,52434,49299,299514,299023,155422,143601,491,252,239,185276,184995,281,283841,248062,1416,152,412,340,9,12,283,2,3,3,20,8,0,0,0,0,33400,403176,301,7,4,5,0,0,2,0,0,1,7,8,1,4,6,2,0,0,287,0,47,1,0,0,0,0,0,3,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2959.84008789062,251400,0,302289,905,23450,242500,0,22737,0,0,180000,204000,428612,1825000,32000,110600,45642,172000,106500,57600,123240,75600,4914328,75969,10541,1328,425,71275,9978,3366,138,44879,2454,20535,4152,4760,4388,5342,0,0,0,0,1,0,0,0,0,61,0,0,0,0,149,0,0,0,0,56,0,0,0,0,200000,NA,NA,0,0,67209,0,0,0,0,1541797,NA,0,0,0,194556,NA,NA,NA,0,1314864,NA,0,0,0,328389,9,2843218,2153,2088,65,0,0,74,2.0699999332428,1.19000005722046,1004931,3830667,6580391,178935,55,3,2,2
31,"IOWA",245,384,743,401,5052,933,68,292,102515,59178,733642,3656,12187,441,5777,6096,9366,10588,6098,361,18362,2982,107,4741,6349,82598,3862,120329,198,77284,907,448,5004,362,12288,14781,2497,40302,1,14,645,240,76,52,72,27,394,44,50,7,133,148,3,2,10,6,12,96,305,100,3664,66,733,74,6,73,12,28,32,230,2315,23,0,2,8,92,128,166,0,73,0,83,368,40,9,750,24,78,0,0,5,19,0,2,0,0,0,0,0,1,17,13,15,117,1473,357,10554,21097,19451,472,35,612,484,43,5,37,50,6901,80,2675,88268,3863,4556,255,308,6395,1966,34,3532,263,808,32801,1634,11,2887,28955,13,76587,22519,44061,6885,3031,91,4,3,4743,244,40,122,2,3104,40,18,21586,7,403,22,535,14,40,38,17559,4587,26,79,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12635,0,141,11148,429202,9460775,6288167,3846893,2441274,4347119,2907446,426520,1013153,4380,8414,0,0,30.5900001525879,227.25,95040,93771,425665,425160,216558,208602,505,242,263,260813,260511,302,277009.125,370398,1881,159,597,569,12,18,500,3,1,2,31,1,0,0,1,0,38455,508885,519,15,4,0,0,0,2,0,1,1,7,15,0,5,1,1,0,0,523,0,36,2,1,0,0,0,0,6,0,0,1,0,0,0,0,1,2,0,0,2,0,0,0,0,1,0,0,2,1,0,0,0,0,0,5,4992.64013671875,3000,0,0,125000,0,122293,0,125100,0,129705,392200,677500,375546,68600,359555,57505,256400,858414,98817,413550,112867,61100,3625150,61499,8442,625,80,58156,8252,2718,110,50180,2067,8169,3807,2237,1496,1985,NA,NA,NA,1,NA,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1500,0,NA,NA,0,275,0,0,0,0,20000,0,NA,0,0,4950,0,0,NA,NA,18000,0,NA,0,0,7000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,4,2,2
32,"KANSAS",751,2316,677,627,2789,557,70,1047,106670,76850,55841,222145,25993,482,3519,4217,5384,12885,2775,676,53740,4335,82,2088,4617,42707,4867,93071,198,59111,608,515,10231,1593,4914,13492,3612,14912,0,11,132,271,28,330,144,102,126,48,51,4,854,768,6,7,2,10,33,532,322,246,131,10921,6985,1300,19,214,11,127,9,2776,6488,15,0,0,14,72,842,325,0,125,4,384,5418,2464,0,1844,32,104,0,1,0,29,0,355,6,4,0,0,0,0,34,7,11,75,1285,432,2468,12536,11758,244,32,425,69,8,53,35,21,1838,58,1821,28034,1638,1696,82,89,1812,741,2,374,82,191,10720,725,4,1665,8213,1,35052,14172,14993,3788,2088,11,0,1,749,291,32,167,0,310,9,58,1358,2,1200,17,8032,4,45,24,11207,2668,8,41,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6148,45,28,5315,236635,4723043,2163261,1462093,701168,1819561,1101211,306490,411860,2958,3632,23,6,27.5599994659424,166.369995117188,39956,36553,246128,239238,124542,114696,6890,3429,3461,144343,140362,3981,140833.859375,194604,1051,83,365,347,8,12,310,1,0,0,15,1,0,0,0,0,21396,259333,322,4,5,0,0,0,2,1,0,0,3,3,1,6,2,0,0,0,334,0,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3384.73999023438,0,1100,0,0,61800,189675,355750,507400,311500,677300,1124259,1152485,1017767,1673785,445254,306037,490167,515268,522481,744656,2112112,973720,2225170,33292,3027,272,19,31974,2963,1046,45,28560,993,2340,2077,802,727,820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,450000,630,570,60,0,0,56,3,1.25,166500,734245,1004100,19055,20,4,2,2
33,"MINNESOTA",121,80,180,51,2698,187,32,111,16171,8322,10894,327,2044,201,12506,964,7218,5518,299830,149,2250,219,14,3593,1859,46957,326,15491,30,14999,728,81,414,95,7869,1800,410,44000,0,0,317,143,8,41,37,20,30,16,18,4,47,10,3,0,13,2,3,20,28,20,22,3,107,19,5,37,5,21,2541,48,140,10,0,0,3,49,47,69,0,33,1,27,67,2,0,101,3,178,0,1,19,13,0,5,2,0,0,0,0,0,14,21,8,49,2607,615,7759,29631,25288,2491,45,1562,134,111,10,32,6,6071,31,1351,66592,2226,2938,56,127,3730,981,13,1660,102,164,38067,1169,3,1704,13652,1,38551,8495,25942,2964,1103,47,0,2,1581,356,28,124,1,2949,5,6,62521,3,2218,2,2272,18,29,19,39176,2828,10,32,147,16272,34362,1267,507670,80217,77065,162302,155381,35324,30096,174457,174991,40311,38628,49421,47781,4784,0,56,3978,154122,3460458,2012987,1404104,608883,1622919,956571,157889,508459,1824,3276,0,0,33.8400001525879,187.559997558594,28264,26376,186544,186515,93470,93045,29,14,15,103378,103356,22,226521,163640,871,46,261,223,4,6,205,0,1,0,6,1,0,0,0,0,28493,193581,207,3,3,2,0,0,0,0,0,0,2,2,1,3,4,0,0,0,202,1,13,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2989.59008789062,2275000,1115,180100,1100,31870,56450,31000,63040,47396,229932,142418,382125,286867,612856,768904,322488,178633,180067,458958,238262,504889,83660,1218066,35511,4278,309,97,34201,4149,1001,32,20867,1359,5460,1587,5485,3394,1637,NA,NA,NA,NA,1,0,0,0,0,4,0,0,0,0,12,0,0,0,0,6,0,0,0,0,5000,NA,NA,0,0,6400,0,0,0,0,200000,NA,0,0,0,30000,0,NA,NA,0,160000,NA,0,0,0,40000,1,150000,180,180,0,0,0,60,2,1.5,25275,0,0,0,27,4,2,2
34,"MISSOURI",4525,12821,1203,511,2214,924,180,3468,102522,59956,30438,12814,93431,3108,2097,6756,4728,5314,1335,2413,1156746,2186,95,1267,3483,32037,14963,78478,171,36984,499,2198,67741,4196,2562,46241,2609,6693,0,10,92,650,47,321,90,75,191,35,40,9,833,931,19,10,20,12,59,562,768,138,126,491,9368,1591,11,665,37,37,12,2094,111895,17,0,2,14,89,962,460,3,236,6,439,4713,601,13,7817,78,37,0,1,4,67,1,83,4,6,1,0,2,0,38,17,9,108,1655,505,3342,8685,8090,221,35,289,35,15,11,106,58,970,226,4642,106800,6915,6270,526,258,10214,3301,4,449,391,339,32036,2092,30,3045,40930,0,70147,15798,48898,3641,1766,44,18,0,1122,354,41,1074,65,207,7,84,373,19,801,16,340,17,66,135,3174,6064,22,109,151,21244,72558,607,460145,125748,116976,292944,266315,53126,44040,5672,5263,10855,9847,44358,38948,10329,558,239,8552,329983,7810924,3930003,3117164,812839,3092332,2261058,121510,709764,5552,4661,340,249,36.3300018310547,209.309997558594,62228,58359,486002,461956,240565,221391,24046,11770,12276,260540,248014,12526,913154,371677,2413,151,651,530,22,21,415,2,8,1,50,8,0,2,1,0,122660,842625,425,28,7,14,0,3,5,8,3,2,9,11,0,15,9,0,0,0,494,1,34,0,0,0,0,0,0,0,1,0,5,0,0,1,0,1,1,0,1,3,0,2,0,0,5,1,0,2,0,0,0,0,0,0,6,3708.52001953125,8119930,338200,0,17000,265000,12000,752000,828391,5303000,6347638,2850294,2441933,4130924,3295075,1868600,2841750,6789586,1387700,1357600,1464675,1351500,892659,2310546,98211,11563,2180,694,92893,10706,3138,163,74703,5882,19376,4209,582,1300,3722,0,2,2,3,3,0,75,85,107,120,0,80,85,154,207,0,0,0,100,181,0,102000,169000,489200,890000,NA,NA,30600,120300,97680,0,972000,990000,2196600,3082132,NA,86446,110000,481745,376081,0,NA,NA,1949900,2200027,NA,142900,230000,798050,522980,22,9152472,3139,2989,150,0,0,69,2.74000000953674,1.26999998092651,734575,3249558,4660530,125758,29,4,2,2
35,"NEBRASKA",143,249,304,216,1925,263,33,194,45534,20368,34444,2408,3826,177,2133,1676,3519,7844,2235,250,9961,95255,45,1147,2305,29310,763,31764,59,25050,423,140,1451,403,3205,4251,1031,16908,0,8,345,152,24,103,37,113,207,22,189,1,65,21,1,9,3,4,1,53,49,35,45,66,208,140,0,28,5,9,42,117,542,535,0,1,13,31,46,36,0,29,4,20,109,13,4,174,11,23,0,0,52,18,0,7,0,0,1,0,5,0,11,1,17,43,2346,208,8858,8622,7966,199,14,314,73,56,12,21,6,4511,32,749,31125,1079,986,73,103,1771,814,4,679,45,689,14369,587,5,868,9053,0,21213,8207,10133,2230,624,19,3,0,753,189,20,62,5,258,1,14,2010,12,1128,7,3281,20,15,11,10164,1579,13,29,65,9147,18794,537,168538,28780,27018,67819,63280,27311,24051,18698,18692,9383,9867,35341,34777,3286,0,40,2900,90752,2061059,1252898,983848,269050,1079966,565651,188789,325526,1319,2099,0,0,31.3799991607666,165.490005493164,18023,17244,100871,100661,52847,47814,210,110,100,62510,62363,147,138808,111924,515,34,213,189,5,10,165,1,0,0,7,1,0,0,0,0,18630,135940,178,2,3,1,0,0,2,0,0,0,0,2,1,0,0,1,0,0,175,0,11,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1823.10998535156,0,0,0,0,0,0,0,0,0,150000,592550,574800,447000,398500,240000,117185,325300,120400,965267,105569,332500,446800,1298965,16529,1726,92,13,16047,1694,390,19,12712,555,1966,962,649,547,864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,100000,100,90,10,0,0,60,3,1.5,50000,114500,82000,2000,31,4,2,2
37,"DAKOTA",48,57,101,197,526,61,10,62,4523,1667,7810,239,487,89,1492,318,1290,2507,8601,89,1451,625,24,559,401,9128,99,3798,49,4294,159,59,205,105,1315,546,67,11683,0,5,16619,67,25,17,77,32,104,6,73,4,5,3,0,4,1,0,1,8,5,2,13,2,32,1,2,9,2,2,165,4,69,8,0,0,1,7,2,8,0,11,0,3,11,3,0,29,2,2,0,0,1177,5,0,2,7,3,0,0,1,0,4,4,53,28,131,41,1337,10678,10219,198,12,224,20,5,2,237,40,1447,6,272,5925,164,215,6,19,212,107,1,61,9,1,2598,148,1,202,2181,0,7560,2311,4104,940,205,0,1,2,140,64,7,71,1,107,4,17,13245,0,219,4,6493,4,7,26,3177,386,6,14,35,3203,5570,294,80879,11870,11160,13520,12859,9424,8751,27090,27059,10145,10230,14400,14023,508,1,3,361,13223,214760,137817,120599,17218,183257,81311,69513,32433,212,308,0,0,32.310001373291,156.369995117188,2516,2458,13718,13677,7016,6661,41,16,25,8530,8511,19,65500,46685,230,9,76,67,4,5,57,1,0,0,0,0,0,0,0,0,4500,32443,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698.599975585938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,827823,8790,311,7,1,8681,309,102,1,5417,470,593,726,573,963,359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,4,2,2
