"","state","name","nwmst","nwfst","nwtst","nwmost","nwfost","nwtost","fbwm","fbwf","fbwt","pbunkwm","pbunkwf","pbunkwt","fcmst","fcfst","fctst","fcmost","fcfost","fctost","fbfcm","fbfcf","fbfct","pbunkfcm","pbunkfcf","pbunkfct","pbal","pbar","pbca","pbdc","pbct","pbde","pbfl","pbga","pbil","pbin","pbia","pbky","pbla","pbme","pbmd","pbma","pbmi","pbms","pbmo","pbnh","pbnj","pbny","pbnc","pboh","pbpa","pbri","pbsc","pbtn","pbtx","pbvt","pbva","pbwi","pbterr","natpop","pbenglan","pbscot","pbwales","pbirelan","pbpruss","pbotgerm","pbaustri","pbhollan","pbnorway","pbdenmar","pbsweden","pbbelg","pbswitz","pbrussia","pbfrance","pbspain","pbportug","pbitaly","pbsardin","pbgreece","pbturkey","pbchina","pbasia","pbhawaii","pbafrica","pbbritam","pbmexico","pbcentam","pbsoamer","pbwesind","pbothfor","forpop","pbunkpop","area","families","famsize","slh1","slh24","slh59","slh1019","slh2049","slh5099","slh100","slh200","slh300","slh500","slh1000","slhtot","m15mfg","m15ag","m15labor","m15army","m15navig","m15prof","m15oeduc","m15govt","m15domes","m15other","m15empl","wagefhwb","waglabwb","waglabnb","wagcarpt","wagdomf","boardwk","banks","bankcap","bankloan","bankspec","money","bankdeps","wealth","mfgesta2","mfgcap2","mfglabm2","mfglabf2","mfglcos2","mfgrms2","mfgout2","mfgestab","mfgcap","mfgrms","mfglabm","mfglabf","mfglcost","mfgout","profit","farms","avacres","avfarval","avequval","avtfarmv","dailypa","dailycop","week3pa","week3cop","week2pa","week2cop","weeklypa","weeklyco","smonthpa","smonthco","monthpa","monthcop","quartpa","quartcop","newspa","newspcop","litmispa","litmicir","litmicop","neuindpa","neuincir","neuincop","politpap","politcir","politcop","religpap","religcir","religcop","scienpap","sciencir","sciencop","newspcir","stalib","stavols","soclib","socvols","stulib","stuvols","acprlib","acprvols","scienlib","scievols","library","libvols","fips","region1","region2","level"
"11",21,"ILLINOIS",169665,161424,331089,210225,189508,399733,63427,48433,111860,2227,1125,3352,1308,1356,2664,1396,1267,2663,16,16,32,57,20,77,1335,727,3,226,6899,1397,23,1341,343618,30953,1511,49588,480,3693,6898,9230,2158,490,7228,4288,6848,67180,13851,64219,37979,1051,4162,32303,63,11381,24697,1095,16,736931,18628,4661,572,27786,286,38160,65,220,2415,93,1123,33,1635,27,3396,70,42,43,0,4,0,1,2,9,11,10699,30,0,12,75,495,110593,3946,55410,149153,5.71000003814697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36232,141099,29778,0,1644,3307,2071,701,376,151,215359,12.5500001907349,0.620000004768372,0.850000023841858,1.47000002861023,1.13999998569489,1.47000002861023,NA,NA,NA,NA,NA,NA,156265006,3162,6217765,11066,493,3204336,8959327,16534272,3164,6385387,8915173,11632,433,3286249,17236073,78.8499984741211,76208,158,1261,84,1345,8,1120540,4,214500,0,0,84,3575936,3,43200,7,147200,1,900,107,5102276,22,17725,721700,1,1290,403770,73,51111,3384162,8,12097,499044,3,6400,93600,88623,1,4000,2,2821,2,625,2,2000,0,0,27,19916,17,3,2,2
"12",22,"INDIANA",264241,256342,520583,207707,190988,398695,32692,22845,55537,1538,801,2339,2593,2556,5149,3073,2958,6031,19,16,35,30,17,47,395,151,0,227,2485,2737,21,761,4173,541079,407,68651,321,976,10177,2678,1817,287,1006,886,7837,24310,33175,120193,44245,438,4069,12734,44,3183,41819,99,11,931392,5550,1341,169,12787,740,28584,17,43,18,10,16,86,724,6,2279,3,6,6,0,0,0,0,4,0,4,1878,31,0,4,12,108,54426,2598,33809,171564,5.76000022888184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45318,163229,29854,0,1725,4229,3031,677,184,449,248696,10.5,0.550000011920929,0.779999971389771,1.29999995231628,0.899999976158142,1.42999994754791,14,2082950,4395099,1197880,3422445,630325,202650264,4392,7750402,13748,692,3728844,10369700,18725423,4288,7941602,10214337,13677,665,2809116,18922651,74.2799987792969,93896,136,1453,71,1524,9,1153092,2,195000,0,0,95,2920736,1,48000,0,0,0,0,107,4316828,21,12452,647504,0,0,0,84,47900,3569324,2,3000,100000,0,0,0,63352,1,7000,4,10700,4,4800,0,0,0,0,16,40000,18,3,2,2
"13",23,"MICHIGAN",69998,67639,137637,106868,94718,201586,30678,23915,54593,921,334,1255,452,338,790,898,745,1643,53,57,110,28,12,40,19,25,3,45,6751,368,12,68,496,2003,59,402,30,1117,537,8167,140648,34,92,2744,5572,133756,312,14677,9452,1031,81,101,4,11113,1504,332,36,341591,10620,2361,127,13430,190,10070,21,2542,110,13,16,112,118,25,945,10,2,12,2,1,2,1,0,2,3,14008,4,0,5,34,66,54852,1211,56451,72611,5.48000001907349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22375,65815,15602,143,1220,2007,1092,337,220,167,108978,12,0.660000026226044,0.879999995231628,1.39999997615814,1.10000002384186,1.5900000333786,6,764022,1319305,125722,897364,416147,59787255,2033,6563660,8990,354,2717124,6136328,11169002,1963,6534250,6105561,8930,360,2387928,10976894,38.0099983215332,34089,129,1521,85,1606,3,1252000,2,52000,0,0,47,1685736,3,134400,3,123600,0,0,58,3247736,13,13625,456500,1,200,26000,39,28793,2556836,3,5600,134400,2,4500,74000,52718,1,4400,2,3315,0,0,0,0,0,0,381,65235,26,3,2,2
"14",24,"OHIO",605329,598161,1203490,273435,255773,529208,122531,95568,218099,2822,1431,4253,6093,6293,12386,6451,6211,12662,57,37,94,90,47,137,209,141,0,598,22855,4715,17,447,1415,7377,378,13829,648,3314,36698,18763,2238,422,656,4821,23532,83979,4807,1219432,200634,1959,1468,1873,29,14320,85762,196,24,1757556,25660,5232,5849,51562,765,111257,29,348,18,53,55,103,3291,84,7375,28,7,174,15,0,1,3,6,1,7,5880,26,12,41,86,544,218512,4261,39964,348514,5.67999982833862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142687,270362,92766,0,4109,9001,8263,1218,1167,1219,530792,11.1000003814697,0.560000002384186,0.779999971389771,1.26999998092651,0.959999978542328,1.45000004768372,57,8718366,17059593,2750587,11059700,5310555,504726120,10622,29019538,47054,4437,13467156,34678019,62692279,10622,29019538,34677937,47054,4435,13467660,62647259,49.9700012207031,143807,125,2495,88,2583,26,14285633,10,1047930,0,0,201,13334204,23,1781640,0,0,1,24000,261,30473407,37,111790,3865880,6,13485,4220805,192,189304,18865282,21,90130,3334240,5,10400,187200,415109,1,12500,8,21295,19,20205,3,12529,1,1000,48,104634,39,3,2,2
"15",25,"WISCONSIN",26348,27964,54312,75165,64001,139166,62231,48240,110471,607,200,807,100,67,167,255,199,454,3,3,6,7,1,8,49,67,0,33,4125,141,4,495,5292,2773,445,1429,78,3252,462,6285,1900,35,1012,2520,1566,68595,322,11402,9571,690,107,449,4,10157,1611,63015,26,197912,18952,3527,4319,21043,3545,34519,61,1157,8651,146,88,45,1244,71,775,4,4,9,1,1,0,0,17,1,1,8277,9,11,6,20,191,106695,784,53924,57608,5.30000019073486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20526,40980,13196,77,561,1477,800,185,191,146,78139,12.6899995803833,0.709999978542328,1,1.53999996185303,1.26999998092651,1.87999999523163,NA,NA,NA,NA,NA,NA,42056595,1262,3382148,5798,291,1712496,5414931,9293068,1262,3382148,5414931,5798,291,1712496,9293068,64,20177,148,1414,81,1495,6,1053245,4,198250,0,0,35,1395992,0,0,1,18000,0,0,46,2665487,3,2500,130000,0,0,0,42,29236,2517487,0,0,0,1,1500,18000,33236,1,4000,1,1000,0,0,0,0,0,0,35,7163,55,3,2,2
"16",31,"IOWA",21406,19899,41305,67278,61970,129248,11983,9031,21014,220,94,314,24,28,52,140,140,280,1,0,1,0,0,0,180,163,3,70,1090,439,51,119,7247,19925,50380,8994,133,713,1888,1251,521,138,3807,580,1199,8134,2589,30713,14744,256,676,4274,10,1645,7861,692,135,170620,3785,712,352,4885,88,7152,13,1108,361,19,231,4,175,41,382,1,8,1,0,1,0,0,2,0,0,1756,16,0,1,14,124,21232,362,55045,33517,5.73000001907349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9255,32779,5392,71,163,1077,425,103,10,40,49315,11.8000001907349,0.610000014305115,0.829999983310699,1.5,1.07000005245209,1.58000004291534,NA,NA,NA,NA,NA,NA,23714638,522,1292875,1687,20,473016,2356881,3551783,522,1292875,2356881,1687,20,473016,3551783,55.8300018310547,14805,185,1125,79,1204,0,0,2,577200,0,0,25,923000,0,0,2,12600,0,0,29,1512800,2,1000,36000,1,1200,187200,25,20150,1281800,1,650,7800,0,0,0,23000,1,2500,0,0,0,0,0,0,0,0,5,2660,19,4,2,2
"17",33,"MINNESOTA",776,796,1572,1612,874,2486,1305,672,1977,2,1,3,7,7,14,14,11,25,0,0,0,0,0,0,6,11,1,3,48,3,0,4,168,35,81,71,4,365,31,92,41,0,90,47,115,488,6,241,227,3,4,21,0,100,59,301,1341,4007,84,39,2,271,5,141,1,16,7,1,4,1,22,2,29,1,0,1,0,0,0,0,0,0,0,1417,0,0,0,0,4,2048,22,165491,1016,5.98000001907349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,656,563,751,163,4,68,37,59,15,20,2336,17,0.860000014305115,1.37000000476837,2.25,2.25,3.5,NA,NA,NA,NA,NA,NA,NA,5,94000,63,0,18540,24300,58300,5,94000,24000,63,0,21420,57500,12.8500003814697,157,184,1031,102,1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3000,1,200,0,0,0,0,0,0,2,3200,27,4,2,2
"18",34,"MISSOURI",135005,130299,265304,131224,117999,249223,46178,30392,76570,580,327,907,842,788,1630,492,451,943,15,7,22,12,11,23,2067,2120,4,238,742,518,67,1254,10917,12752,1366,69694,746,311,4253,1103,295,638,277604,304,885,5040,17009,12737,8291,124,2919,44970,248,630,40777,123,80,520826,5379,1049,176,14734,697,44352,71,189,155,55,37,58,984,29,2138,46,11,124,1,0,7,0,3,1,7,1053,94,0,20,50,954,72474,1322,65350,100890,5.8899998664856,5762,6878,4370,1810,345,19,0,1,0,0,0,19185,30098,65561,20326,305,2471,2893,3147,767,1458,1149,128175,11.8100004196167,0.550000011920929,0.75,1.48000001907349,1.16999995708466,1.30999994277954,6,1209131,3533463,1198268,2522500,1098981,137247707,2923,8576607,14880,928,4692648,12798351,24324418,3029,9079695,12446738,15977,873,3184764,23749265,89.4100036621094,54458,179,1161,73,1234,5,3380400,4,273000,0,0,45,2406560,0,0,7,135600,0,0,61,6195560,17,19400,608800,0,0,0,42,48340,5496280,2,2740,90480,0,0,0,70480,1,4637,2,5799,5,1605,1,500,1,300,19,37506,29,4,2,2
"19",40,"VIRGINIA",404331,409480,813811,31084,26498,57582,15606,7347,22953,279,175,454,25710,28090,53800,266,218,484,15,17,32,11,6,17,92,150,4,1184,556,542,26,193,126,288,37,2029,93,271,10328,1193,33,78,223,239,11447,2934,7343,5206,6323,100,381,1560,7,231,872923,11,3,926154,2998,947,173,11643,36,5511,15,65,5,15,16,7,83,8,321,29,51,65,0,0,0,3,4,1,3,235,4,1,7,72,76,22394,585,61348,167530,5.67000007629395,11385,15550,13030,9456,4880,646,107,8,1,0,0,55063,52675,108364,48338,274,3263,4791,5622,1491,79,1978,226875,8.43000030517578,0.469999998807907,0.649999976158142,1.22000002861023,0.959999978542328,1.49000000953674,37,9824545,19646777,2928174,10256997,4717732,430701082,4740,18109143,25790,3320,5434476,18101131,29602507,4741,18109993,18103433,25789,3320,5413764,29705387,34.1699981689453,77013,340,2810,91,2901,15,4992350,12,1416550,0,0,55,2518568,3,267600,1,24000,1,4000,87,9223068,10,5690,247880,5,4200,1251900,62,51988,6698176,9,25256,1001112,1,2000,24000,89134,1,14000,4,3313,8,10466,5,12951,1,1200,30,89180,51,5,3,2
"20",41,"ALABAMA",118012,116679,234691,95988,87336,183324,4928,2570,7498,555,446,1001,758,883,1641,279,310,589,5,6,11,14,10,24,237542,91,0,66,612,73,1060,58997,114,93,7,2694,628,215,757,654,3,2852,158,151,271,1443,28521,276,876,74,48663,22541,55,155,10387,3,0,420032,941,584,67,3639,45,1068,33,1,3,18,51,4,113,10,503,163,39,90,0,7,1,0,0,3,18,49,39,3,2,28,116,7638,1109,50722,73786,5.80999994277954,5204,7737,6572,5067,3524,957,216,16,2,0,0,29295,16630,68635,7683,0,807,2610,3638,325,42,97,100467,9.61999988555908,0.490000009536743,0.699999988079071,1.75999999046326,1.4099999666214,1.88999998569489,2,1800580,4670458,1998820,3568285,1474963,228204332,1026,3450606,4397,539,1105824,2224960,4528876,1026,3450606,2224960,4399,539,1106112,4528878,34.7099990844727,41964,289,1533,122,1655,6,869201,5,266500,0,0,48,1509040,1,18000,0,0,0,0,60,2662741,11,5100,265200,1,1000,313000,45,24336,1889169,2,3450,158400,1,711,36972,34597,0,0,1,1454,2,2623,0,0,0,0,37,18077,1,6,4,2
"21",42,"ARKANSAS",31145,29851,60996,53266,45684,98950,989,479,1468,474,301,775,165,128,293,138,159,297,1,2,3,10,5,15,11250,63206,6,49,121,51,38,6367,3276,2128,106,7428,1096,80,326,174,17,4463,5328,49,117,537,8772,1051,702,36,4587,33807,336,82,4737,13,9,160345,196,71,11,514,24,516,0,2,1,7,1,2,12,6,77,3,3,15,0,0,0,0,0,0,1,41,68,0,0,7,50,1628,824,52198,28461,5.71999979019165,1383,1951,1365,788,382,109,19,2,0,0,0,5999,4296,28942,5684,33,106,911,676,110,0,27,40785,10.6300001144409,0.540000021457672,0.75,1.76999998092651,1.66999995708466,1.61000001430511,NA,NA,NA,NA,NA,NA,39841025,261,305015,812,30,159876,215789,537908,272,324065,268564,873,30,169356,607436,52.310001373291,17758,146,860,90,950,0,0,0,0,0,0,9,377000,0,0,0,0,0,0,9,377000,3,3300,171600,0,0,0,6,3950,205400,0,0,0,0,0,0,7250,0,0,1,1000,0,0,0,0,0,0,1,1000,5,7,4,2
"22",43,"FLORIDA",9684,9436,19120,14058,11274,25332,1953,787,2740,10,1,11,357,447,804,46,53,99,15,14,29,0,0,0,2340,5,0,33,179,9,20563,11316,8,14,0,87,146,140,194,235,7,92,7,61,83,614,3537,53,240,66,4470,112,8,55,643,3,0,45320,300,182,11,878,17,307,8,8,17,21,33,4,7,2,67,70,17,40,0,0,0,0,3,0,23,97,6,0,3,599,37,2757,58,59268,9107,5.28999996185303,699,991,759,588,349,104,29,0,1,0,0,3520,2380,5977,2666,423,708,357,302,268,12,42,13135,10,0.680000007152557,1.02999997138977,2.15000009536743,1.83000004291534,2.64000010490417,NA,NA,NA,NA,NA,NA,22862270,103,547060,876,115,199452,220611,668335,103,547060,220611,876,115,199452,668335,45.3800010681152,4304,371,1469,153,1622,0,0,1,31200,0,0,9,288600,0,0,0,0,0,0,10,319800,0,0,0,0,0,0,7,3500,202800,3,2250,117000,0,0,0,5750,2,4000,1,1337,0,0,0,0,0,0,4,5537,12,5,3,2
"23",44,"GEORGIA",199271,197027,396298,62452,55816,118268,4242,2210,6452,268,286,554,1223,1358,2581,133,170,303,12,24,36,7,4,11,3154,25,0,72,712,117,1103,402666,41,50,1,458,42,178,703,594,3,184,60,122,331,1203,37522,46,642,138,52154,8211,28,186,7331,2,0,518079,679,367,13,3202,25,947,13,11,6,24,11,41,38,8,177,13,5,33,0,1,1,0,2,0,13,108,8,0,8,95,58,5907,517,58000,91666,5.71999979019165,6554,11716,7701,6490,5056,764,147,22,4,2,0,38456,20715,83362,11505,18,282,2815,3942,416,15,173,123243,9.02999973297119,0.5,0.720000028610229,1.6599999666214,1.51999998092651,1.82000005245209,21,13482198,11421626,2112446,9898827,2580826,335425714,1522,5456483,6650,1718,1709664,3404917,7082075,1527,5460483,3404917,6660,1718,1712304,7086525,36.060001373291,51759,441,1850,114,1964,5,1086110,3,146380,0,0,37,2609776,6,228600,0,0,0,0,51,4070866,18,29638,1411976,6,3046,747340,20,20900,1491350,3,4600,239200,4,9300,181000,67484,0,0,1,6510,4,4685,2,5000,1,2000,24,35632,13,5,3,2
"24",45,"LOUISIANA",63664,63253,126917,36386,24255,60641,40714,26594,67308,479,146,625,6821,8381,15202,387,892,1279,238,687,925,33,23,56,7346,803,1,156,469,117,372,5917,401,414,28,2968,145474,816,1440,1620,68,10913,909,247,498,5510,2923,1473,2493,239,4583,3352,864,283,3216,7,1,205921,3550,1196,48,24266,380,17507,156,112,64,288,249,115,723,65,11552,1417,157,915,9,23,48,33,17,1,90,499,405,3,15,1337,1173,66413,619,41346,54112,5.03999996185303,4797,6072,4327,2652,1774,728,274,36,6,4,0,20670,32879,18639,15264,45,4263,1827,2444,811,508,488,77168,12.8000001907349,0.730000019073486,1.03999996185303,2.35999989509583,2.5699999332428,2.70000004768372,25,12370390,19309108,5716001,5059229,8464389,233998764,1008,5032424,5458,759,2033928,2459508,6779417,1017,5318074,2958988,5581,856,2086212,7320948,42.7900009155273,13422,372,5648,863,6511,11,9947140,6,676000,0,0,37,1646684,0,0,1,146400,0,0,55,12416224,13,22025,657300,6,12000,3335100,34,45522,8356224,1,1000,52000,1,300,15600,80847,1,7000,1,10000,0,0,0,0,0,0,6,30000,22,7,4,2
"25",46,"MISSISSIPPI",69000,66501,135501,83730,71216,154946,3236,1546,4782,321,168,489,317,323,640,144,121,265,3,3,6,10,9,19,34047,456,1,73,242,67,629,17506,311,413,7,3948,2557,139,791,339,10,140885,303,100,221,952,21487,594,981,62,27908,27439,139,141,8357,4,5,291114,593,317,10,1928,71,1064,16,8,8,24,14,3,41,9,440,49,2,121,0,0,0,0,2,0,6,79,13,1,4,25,110,4958,576,47156,52107,5.69000005722046,3640,6228,5143,4015,2964,910,189,18,8,1,0,23116,12053,50284,6067,0,292,2329,3380,377,69,231,75082,11,0.689999997615814,0.949999988079071,1.94000005722046,1.51999998092651,2,NA,NA,NA,NA,NA,NA,228951130,947,1815820,3046,108,771528,1275771,2912068,877,1833420,1290271,3065,108,775128,2972038,49.4500007629395,33960,309,1612,170,1782,0,0,4,245440,0,0,46,1507064,0,0,0,0,0,0,50,1752504,10,4490,233480,0,0,0,40,26380,1519024,0,0,0,0,0,0,30870,1,5000,0,0,2,2411,0,0,0,0,108,15650,28,6,4,2
"26",47,"NORTH CAROLINA",260546,268937,529483,10803,9981,20784,1583,982,2565,93,103,196,12939,13879,26818,333,275,608,13,3,16,13,8,21,131,1,0,28,272,96,54,844,23,67,3,141,14,68,635,261,2,57,33,26,174,468,556248,48,665,59,4420,2037,6,27,10838,4,0,577750,394,1012,7,567,19,344,2,4,0,6,9,1,3,8,43,4,12,4,0,0,0,2,0,0,2,30,2,4,3,37,5,2524,217,50704,105451,5.5,1204,9668,8129,5898,2828,485,76,12,3,0,0,28303,20613,81982,28560,0,1659,2263,3447,570,46,247,139387,7.21000003814697,0.419999986886978,0.540000021457672,1.22000002861023,0.870000004768372,1.33000004291534,18,3789250,6056726,1645028,4249883,942098,226800472,2663,7456860,12473,2128,2383456,4602501,9111050,2604,7252225,4805463,10693,1751,1796748,9111245,34.5999984741211,56963,369,1192,69,1261,0,0,5,414310,0,0,40,1530204,6,76050,0,0,0,0,51,2020564,8,5675,266200,2,875,113750,35,24564,1457664,6,5725,182950,0,0,0,36839,1,3000,0,0,2,8846,2,3000,0,0,8,24247,37,5,3,2
"27",48,"SOUTH CAROLINA",125545,127854,253399,7043,5558,12601,5136,3372,8508,23,32,55,3994,4623,8617,68,74,142,69,130,199,0,2,2,225,9,1,30,228,14,55,1504,6,11,0,73,30,68,320,407,2,60,3,39,182,884,6173,23,362,97,262160,188,1,37,1621,0,0,274813,921,651,10,4051,44,2180,11,9,7,24,29,0,18,19,274,30,14,59,0,1,0,1,4,0,9,57,4,0,8,177,50,8662,48,34000,52937,5.3600001335144,3492,6164,6311,4955,3200,990,382,69,29,2,2,25596,13205,41302,8151,0,346,1829,3161,372,149,34,68549,7.71999979019165,0.490000009536743,0.660000026226044,1.39999997615814,1.41999995708466,1.73000001907349,14,13213031,23312330,2218228,11771270,3065686,288257694,1430,6053265,5992,1074,1127712,2787534,7045477,1431,6056865,2809534,5935,1074,1128432,7063513,51.5999984741211,29967,541,2751,138,2889,7,5070600,5,549250,0,0,27,1413880,5,102600,0,0,2,9600,46,7145930,10,12700,474800,5,8300,2140400,24,28115,4310930,5,4600,195000,2,2000,24800,55715,0,0,2,28500,4,1900,5,10264,0,0,14,59914,45,5,3,2
"28",49,"TEXAS",22396,20885,43281,51418,41239,92657,10726,6894,17620,329,147,476,92,71,163,79,92,171,39,22,61,1,1,2,12040,4693,0,35,369,61,365,7639,2855,1799,109,5478,4472,226,521,414,125,6545,5139,97,205,1589,5155,947,1005,56,4482,17692,49160,144,3580,42,14,137053,1002,261,17,1403,75,8191,11,14,105,49,48,8,134,10,647,62,5,41,0,0,0,0,0,5,4,137,4459,3,1,22,60,16774,604,274356,28377,5.44000005722046,1935,2640,1585,1121,374,82,9,1,0,0,0,7747,7327,25299,6194,584,321,1368,996,677,0,90,42856,12,0.75,1,2,2,2,NA,NA,NA,NA,NA,NA,52740473,309,539290,1042,24,322368,394642,1168538,309,539290,394642,1042,24,322368,1165538,83.1699981689453,12198,942,1357,176,1533,0,0,5,525400,0,0,29,771524,0,0,0,0,0,0,34,1296924,17,6737,350324,1,1400,148400,14,8350,660400,2,2650,137800,0,0,0,19137,1,1001,0,0,0,0,0,0,0,0,4,1631,48,7,4,2
"29",51,"KENTUCKY",293442,286687,580129,79167,69415,148582,19461,11940,31401,734,567,1301,3732,3936,7668,1106,1186,2292,8,11,19,17,15,32,792,271,0,176,448,507,30,892,1649,5898,59,601764,671,227,6470,665,59,657,1467,225,1249,2881,14279,9985,7491,226,3164,23623,71,277,54694,11,3,740881,2805,683,171,9466,198,13607,12,38,18,7,20,27,279,70,1116,21,5,143,1,1,0,0,3,0,4,275,42,1,2,41,133,29189,1354,37680,132920,5.80000019073486,9244,13284,9579,5022,1198,53,5,0,0,0,0,38385,36598,115017,28413,204,1027,3811,4420,902,212,471,191075,10,0.5,0.689999997615814,1.3400000333786,1.0900000333786,1.4099999666214,26,7536927,12506305,2794351,7643075,2323657,301628456,3609,11810462,19576,1900,5106048,12165075,21710212,3609,12350734,12170225,22445,1940,4764096,24588483,61.9700012207031,74777,227,2073,69,2142,9,2243584,7,1125280,0,0,38,3053024,8,160950,0,0,0,0,62,6582838,12,14900,650800,2,800,250400,42,55936,5245888,5,12525,429450,1,525,6300,84686,1,9000,1,3500,10,7190,3,4000,1,1500,27,63440,21,6,4,2
"30",52,"MARYLAND",160562,165478,326040,22632,17978,40610,27813,23198,51011,180,102,282,34485,38871,73356,571,531,1102,103,95,198,33,34,67,51,14,1,1940,484,4373,37,74,54,65,5,131,181,456,400594,1421,16,143,86,260,1321,2646,225,535,16076,209,158,39,24,262,7030,4,1,438916,3467,1093,260,19557,188,26936,16,106,10,35,57,5,68,23,507,18,29,82,0,0,11,1,2,2,10,215,8,0,52,279,251,53288,462,11124,87384,5.6399998664856,4825,5331,3327,1822,655,72,7,0,1,0,0,16040,47616,28588,32102,67,9740,2059,2442,963,1021,278,124876,7.88000011444092,0.490000009536743,0.689999997615814,1.25,0.889999985694885,1.75,25,8128881,14900816,2709699,3532869,5838766,219217364,3725,14934450,22729,7483,7403832,17690836,33043892,3708,14753143,17326734,22641,7483,7374672,32477702,52.7099990844727,21860,212,3988,113,4101,6,15806500,4,499700,0,0,54,3166124,1,48000,3,92400,0,0,68,19612724,20,71000,14654000,1,700,8400,39,31637,4196924,6,13950,669400,2,7000,84000,124287,1,15000,9,32156,4,1700,3,3150,1,1500,46,84565,24,5,3,2
