"","state","name","pbal","pbar","pbca","pbct","pbde","pbfl","pbga","pbil","pbin","pbia","pbks","pbky","pbla","pbme","pbmd","pbma","pbmi","pbmn","pbms","pbmo","pbnh","pbnj","pbny","pbnc","pboh","pbor","pbpa","pbri","pbsc","pbtn","pbtx","pbvt","pbva","pbwi","pbdc","pbterr","pbsea","pbunkpop","natpop","pbasia","pbafrica","pbaustra","pbatlisl","pbbelg","pbbritam","pbcentam","pbchina","pbdenmar","pbenglan","pbeurns","pbfrance","pbaustri","pbbavari","pbbaden","pbhesse","pbnassau","pbprussi","pbwurtt","pbgermns","pbgerman","pbgrbrit","pbgreece","pbhollan","pbirelan","pbitaly","pbmexico","pbnorway","pbportug","pbpoland","pbpacifi","pbrussia","pbscot","pbspain","pbsweden","pbsardin","pbswitz","pbsoamer","pbhawaii","pbturkey","pbwesind","pbwales","pbothfor","forpop","pbstate","pbotst","pbfor","pbsea2","pbunk2","totpopf","areanf","acres","area","density","dwell","perdwell","family1","family2","famsize","mdeath","fdeath","deaths","wagefhwb","waglabwb","waglabnb","wagcarpt","wagdomf","boardwk","taxstate","taxcoun","taxcity","taxtown","taxschoo","taxpoor","taxroad","taxmisc","taxcash","taxlabor","taxtotal","banks","bankcap","bankloan","bankspec","money","bankdeps","realest","persest","wealth","rrmi50","rrmi51","rrmi52","rrmi53","rrmi54","rrmi55","rrmi56","rrmi57","rrmi58","rrmi59","rrmi60","farms","acimp","acunimp","avacres","polpaday","polpawk2","polpawk3","polpawk","polpamon","polpaqua","polpaann","politpap","relpawk","relpamon","relpaqua","relpaann","religpap","litpaday","litpawk","litpamon","litpaqua","litpaann","literpap","mispaday","mispawk2","mispawk3","mispawk","mispamon","mispaqua","mispaann","miscpap","dailycop","week3cop","week2cop","weeklyco","monthcop","quartcop","annuacop","newspcop","wmsch","wfsch","wtotsch","fcmsch","fcfsch","fctotsch","nbsch","fbsch","totsch","wmillit","wfillit","wtillit","fcmillit","fcfillit","fctillit","nbillit","fbillit","totillit","litcoll","theolsch","medicsch","legalsch","sciensch","agricsch","normsch","milisch","publib","publvols","schlib","schvols","sunlib","sunvols","colllib","collvols","chlib","chvols","library","libvols","colleges","cteacher","cpupil","collye","collyt","collypf","collyos","colly","pubsch","psteach","pspupil","psye","psyt","psypf","psyos","psy","acoth","acteach","acpupil","acye","acyt","acypf","acyos","acy","region1","region2","fips","level"
"22",40,"VIRGINIA",177,47,41,617,561,45,156,245,390,90,7,2938,122,419,12599,1431,53,15,155,387,330,1611,4617,9978,7735,0,18673,140,357,2803,31,265,1001710,38,1259,9,33,311,1070395,12,5,3,2,9,389,0,4,41,4104,16,570,74,736,528,727,27,951,564,6905,10512,32,7,81,16501,259,4,8,33,40,0,14,1386,27,57,4,267,10,0,1,76,584,0,35058,1001710,68341,35058,33,311,1105453,8148244,39265280,61352,26,207305,5.32999992370605,6612,194911,5.4850001335144,11472,11002,22474,11.4300003051758,0.610000014305115,0.810000002384186,1.51999998092651,1.13999998569489,1.98000001907349,2228875,488091,685290,25627,71093,115116,42773,15824,3660015,12674,3672689,65,16005156,24975792,2943652,9812197,7729652,417952228,239069108,793249681,515.150024414062,652.440002441406,954.330017089844,1099.9599609375,1218.81994628906,1269.41003417969,1341.2099609375,1531.17004394531,1594.18994140625,1658.25,1771.16003417969,92605,11437821,19679215,324,15,11,5,85,1,0,0,117,11,2,0,0,13,0,2,1,0,0,3,0,0,0,5,1,0,0,6,44400,2750,21212,189360,43900,0,0,26772568,83393,71529,154922,21,20,41,153792,1171,154963,31178,42877,74055,5489,6908,12397,83300,3152,86452,10,2,3,1,1,0,0,2,1350,432110,10,2620,71,32630,18,67150,4,8500,1453,543010,23,163,2824,48800,0,15000,183140,246940,3778,3896,85443,4446,72338,104801,317053,498638,398,720,13204,33600,15324,26927,468390,544241,5,3,51,2
"23",41,"ALABAMA",320026,343,2,604,47,1644,83517,224,186,23,22,1966,1149,272,683,753,23,7,4848,191,170,231,1848,23504,265,0,989,132,45185,19139,275,174,7598,5,68,2,9,645,516769,5,5,1,5,19,239,2,2,92,1174,36,859,124,562,204,121,7,392,97,1094,2601,5,9,26,5664,187,17,51,6,94,0,20,696,157,155,27,138,3,0,1,41,11,4,12352,320026,196089,12352,9,645,529121,13357535,32462080,50722,19,96682,5.46000003814697,3765,92838,5.47700023651123,6753,6007,12760,12.4099998474121,0.699999988079071,0.959999978542328,2.15000009536743,2.07999992370605,2.6800000667572,530107,309474,600,0,6256,2023,1881,830,851171,0,851171,8,4901000,13570027,2747174,7477976,4851153,155034089,277164673,495237078,132.5,132.5,161,214.720001220703,304,334.540008544922,454,531.799987792969,531.799987792969,628.400024414062,743.159973144531,55128,6385724,12718821,346,9,1,6,73,0,0,0,89,2,0,0,0,2,0,2,2,0,0,4,0,0,0,0,1,0,0,1,8820,2886,400,74289,7200,0,0,7175444,52102,45988,98090,48,66,114,97854,350,98204,14517,23088,37605,192,263,455,37302,758,38060,4,1,0,0,0,0,0,1,361,123315,1,1500,22,13050,3,14000,8,3410,395,155275,17,116,2120,22020,0,900,101974,124894,1903,2038,61751,0,63845,199318,226311,489474,206,400,10778,37800,0,23547,160287,221634,6,4,1,2
"24",42,"ARKANSAS",24433,124043,36,184,103,175,18031,3899,2554,214,43,11083,2313,112,431,217,66,9,16351,8638,69,115,897,17747,1513,0,890,52,10704,66609,1565,121,6484,58,37,82,6,710,320594,0,1,3,0,1,154,0,0,7,375,8,235,34,108,59,37,5,154,75,671,1143,8,65,4,1312,17,6,5,3,4,0,25,131,0,25,0,42,2,0,0,10,10,145,3741,124043,195835,3741,6,710,324335,23833014,33406720,52198,8,56717,2.72000002861023,1271,55973,5.66599988937378,4735,4121,8856,14.25,0.779999971389771,1.03999996185303,2.24000000953674,1.9099999666214,2.48000001907349,241633,285773,2570,11300,0,0,83117,11000,560476,74917,635393,NA,NA,NA,NA,NA,NA,63254740,116956590,219256473,0,0,0,0,0,0,0,0,0,0,38.5,39004,1983313,7590393,245,0,0,0,34,0,0,0,34,2,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1000,38812,0,0,0,2122224,23354,19367,42721,3,2,5,42684,42,42726,9379,14263,23642,10,13,23,23587,78,23665,0,0,0,0,0,0,0,0,102,22210,0,0,13,1011,0,0,0,0,115,23221,4,9,225,0,0,300,5285,5585,727,757,19242,200,1100,13356,105957,120613,109,168,4415,6300,700,8645,52501,68146,7,4,5,2
"25",43,"FLORIDA",4748,11,1,210,17,35602,17550,8,26,3,2,97,226,222,204,295,8,0,243,19,46,101,688,4168,58,0,201,58,8284,245,35,77,654,6,38,0,6,1213,75370,5,17,0,22,4,77,0,0,21,320,11,141,12,39,31,24,23,74,6,269,478,3,3,7,827,75,1,11,13,25,2,6,189,78,31,0,13,4,0,0,919,6,0,3309,35602,38549,3309,6,1213,78679,35011292,37931520,59268,2,14132,5.57000017166138,770,14320,5.21400022506714,979,790,1769,14.289999961853,0.759999990463257,1.1599999666214,2.41000008583069,2.3199999332428,3.57999992370605,80938,74425,3422,0,336,0,0,0,159121,0,159121,2,300000,464630,32876,183640,129518,21722810,47206875,73101500,21,21,21,0,0,0,56,128,198.300003051758,289.799987792969,401.5,6568,654213,2266015,444,0,1,2,17,0,0,0,20,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1400,2500,11600,0,0,0,1081600,4507,3987,8494,3,6,9,8472,31,8503,2378,2963,5341,48,72,120,5150,311,5461,0,0,0,0,0,0,0,0,54,37125,8,5000,3,3750,0,0,1,500,66,46375,0,0,0,0,0,0,0,0,97,98,2032,75,776,2340,16908,20099,138,185,4486,2045,0,3964,69403,75412,5,3,12,2
"26",44,"GEORGIA",4628,98,13,823,104,1659,475496,67,47,5,3,469,105,309,609,773,19,2,370,70,170,451,2125,29913,104,0,981,189,50112,7705,85,245,5275,9,66,1,13,304,583417,6,10,3,2,21,178,0,5,21,1122,21,283,28,274,142,156,9,455,102,1306,2472,0,17,27,6586,47,7,13,12,103,0,11,431,35,37,1,62,3,1,0,78,56,0,11671,475496,107604,11671,13,304,595088,10469510,37120000,58000,18,109069,5.46000003814697,3824,106095,5.41300010681152,6654,6162,12816,11.9499998092651,0.629999995231628,0.889999985694885,2,1.66999995708466,2.22000002861023,381687,283365,15538,5081,59245,17590,5922,29457,797885,0,797885,29,16689560,16776282,3211974,8798100,4738289,179801441,438430946,645895237,643.719970703125,794.719970703125,909.719970703125,962.460021972656,983.460021972656,1020.46002197266,1165.43005371094,1241.69995117188,1297.31994628906,1355.90002441406,1404.21997070312,62003,8062758,18587732,430,12,1,5,56,1,0,0,75,2,2,0,0,4,0,13,8,1,0,22,0,0,0,2,2,0,0,4,18650,3600,900,127322,29500,1000,0,13415444,50552,44128,94680,3,4,7,94319,368,94687,16900,26784,43684,255,318,573,43550,707,44257,6,1,2,0,0,0,0,0,288,228666,0,0,52,14669,11,17800,13,11800,364,272935,32,181,3302,18250,241,4770,144670,167931,1752,1884,56087,16035,53276,117243,263412,449966,242,375,11075,16626,3043,25289,192415,237373,5,3,13,2
"27",45,"LOUISIANA",12078,1314,37,378,105,635,9028,507,581,43,5,3112,214294,639,1321,1350,79,20,15041,1199,191,481,5538,2810,1594,3,2339,146,5011,3520,1248,217,2986,45,112,9,24,7207,295247,73,49,6,34,299,830,27,10,309,3989,68,14938,399,3621,4685,1006,155,2739,889,11120,24614,1,18,262,28207,1134,320,63,145,196,2,84,1051,1806,193,145,878,24,0,3,1154,97,0,81029,214294,73722,81029,24,7207,376276,17162864,26461440,41346,17,63992,5.88000011444092,4785,69940,5.03499984741211,7250,5074,12324,17,0.970000028610229,1.38999998569489,2.80999994277954,3.35999989509583,3.51999998092651,2486932,440138,1680134,0,308148,0,967,44461,4960780,0,4960780,13,24496866,35401609,12115431,11579313,19777812,280704988,155082277,602118568,79.5,79.5,79.5,89,198,203,249.5,261,281,294.75,334.75,17328,2707108,6591468,536,4,2,0,62,0,0,0,68,2,0,0,0,2,0,2,0,0,0,2,4,1,0,4,0,0,0,9,41000,0,1850,77800,0,0,0,16948000,25058,22690,47748,153,122,275,45967,2056,48023,8051,9757,17808,485,717,1202,15679,3331,19010,8,2,1,1,1,0,0,1,53,106624,1,1200,9,2280,1,3000,4,3500,68,116604,15,86,1530,17400,0,1620,69000,88020,713,856,31813,6645,223593,181162,57810,469210,152,446,11274,195400,2947,19900,244249,462496,7,4,22,2
"28",46,"MISSISSIPPI",38878,654,8,203,65,343,18458,371,409,48,1,3201,2983,163,643,309,30,15,195806,417,118,182,1336,18321,729,0,950,45,26577,22231,370,205,6897,35,41,3,8,5063,346116,3,1,0,2,9,184,0,0,31,844,81,571,41,439,185,68,6,317,41,911,2008,1,2,39,3893,114,4,15,3,87,0,26,385,49,21,0,138,3,0,1,22,21,0,8558,195806,145239,8558,8,5063,354674,14340156,30179840,47156,12,61460,5.76999998092651,2396,60619,5.62799978256226,6425,5789,12214,16.6599998474121,0.850000023841858,1.25999999046326,2.47000002861023,2.25,2.92000007629395,398821,384908,32722,3000,32648,28072,49015,25620,951206,3600,954806,NA,NA,NA,NA,NA,NA,157836737,351636175,607324911,75,75,96.1999969482422,96.1999969482422,222.300003051758,278,413,483.5,604.130004882812,697.799987792969,872.299987792969,42840,5065755,10773929,370,5,1,2,62,0,0,0,70,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,15370,2500,5000,65867,0,0,0,9099784,35308,31214,66522,0,2,2,66147,377,66524,6256,9270,15526,50,60,110,15136,500,15636,4,0,0,0,0,0,0,1,146,163420,0,0,13,6525,1,5000,6,3800,166,178745,13,50,856,0,0,1980,32440,34420,1116,1215,30970,21225,29689,107947,226818,385679,169,430,7974,37875,680,44211,230756,313522,6,4,28,2
"29",47,"NORTH CAROLINA",184,32,2,301,60,47,1219,29,52,5,2,131,31,99,497,324,8,6,97,38,83,165,609,634220,43,1,543,51,6670,2467,22,53,9899,21,52,2,7,192,658264,4,0,0,0,1,48,0,0,11,729,7,44,10,122,26,23,0,69,30,485,765,0,0,15,889,27,3,4,16,1,0,20,637,4,9,0,10,4,0,3,26,20,2,3299,634220,23845,3299,7,192,661563,8687591,32450560,50704,19,129585,5.1100001335144,5204,119886,5.28800010681152,6275,6342,12617,10.3699998855591,0.540000021457672,0.769999980926514,1.55999994277954,1.08000004291534,1.8400000333786,543643,255417,0,2100,94731,89374,3629,55838,1044732,0,1044732,50,6626478,12213272,1617687,5594047,1487273,116366573,175931029,358739399,248.5,248.5,311,386,534,544,638.919982910156,689.919982910156,789.919982910156,889.419982910156,889.419982910156,75203,6517284,17245685,316,8,4,1,47,0,0,0,60,5,1,0,0,6,0,5,2,0,0,7,0,0,0,0,1,0,0,1,3550,200,2162,65612,7850,0,0,4862572,62286,54148,116434,75,58,133,116484,83,116567,26024,42104,68128,3067,3782,6849,74877,100,74977,4,0,0,1,0,0,0,0,263,152809,5,9600,21,6282,7,15100,5,6300,301,190091,16,94,1540,7200,0,0,94560,101760,2994,2928,105025,21462,85800,153979,7478,268719,434,661,13169,16940,575,10620,359830,387965,5,3,37,2
"30",48,"SOUTH CAROLINA",309,10,4,194,18,138,1854,14,15,4,1,68,37,96,279,322,5,1,114,5,60,154,881,7818,20,0,374,81,276868,269,14,56,1117,2,32,0,10,72,291316,10,7,0,1,5,86,0,3,38,757,22,219,54,79,85,55,2,352,39,2281,2947,1,0,25,4906,59,1,4,15,142,1,19,502,34,38,0,33,7,0,0,93,11,0,9986,276868,14366,9986,10,72,301302,5564081,21760000,34000,20,58220,5.17999982833862,3242,55400,5.13800001144409,4961,4788,9749,11.3699998855591,0.589999973773956,0.819999992847443,1.77999997138977,1.82000005245209,2.07999992370605,518799,55506,528208,10675,46758,65390,35770,19280,1280386,0,1280386,20,14962062,27801912,2324121,11475634,4165615,129772684,359546444,548138754,289,378.5,598.349975585938,652.349975585938,669.349975585938,759.650024414062,847.650024414062,878.650024414062,906.349975585938,987.969970703125,987.969970703125,33171,4572060,11623859,488,2,0,4,27,0,0,0,33,1,1,1,0,3,0,4,1,0,0,5,0,0,0,3,1,0,0,4,1600,6200,0,41070,4500,500,0,3654840,24893,21332,46225,158,207,365,46341,249,46590,5811,8981,14792,633,783,1416,15792,416,16208,4,5,1,0,0,0,1,2,193,366517,3,22300,48,17425,4,43700,9,21600,257,471542,14,90,1384,73100,0,23000,96575,192675,757,811,20716,12455,39470,29779,122889,204593,226,367,8277,48200,1400,42164,201480,293244,5,3,45,2
"31",49,"TEXAS",34193,11319,83,472,114,1103,23637,7050,3478,702,29,14545,9660,459,916,660,248,70,19902,12487,210,384,3221,12138,2183,6,1796,165,10876,42265,153043,288,9081,183,87,335,247,592,378227,7,6,22,8,30,458,5,0,150,1695,45,1883,730,472,507,975,1078,6235,399,10157,20553,27,2,76,3480,67,12443,326,10,783,0,42,524,59,153,2,453,6,2,3,49,48,5,43422,153043,224345,43422,247,592,421649,150243812,175587840,274356,2,77428,5.44999980926514,2333,74448,5.49100017547607,5122,4255,9377,16.0200004577637,0.899999976158142,1.25,2.49000000953674,2.5,2.92000007629395,298859,208053,23206,1203,1379,0,0,565,533265,0,533265,NA,NA,NA,NA,NA,NA,112476013,155316322,365200614,0,0,0,0,32,40,71,157,205.5,284.5,306,42891,2650781,22693247,591,3,0,3,65,0,0,0,71,4,0,0,0,4,0,9,3,0,0,12,0,0,0,1,1,0,0,2,5360,9288,0,90615,2775,0,0,7855808,33989,29625,63614,4,7,11,61896,1729,63625,8514,9900,18414,25,37,62,11832,6644,18476,4,0,0,0,0,0,0,0,132,74563,1,1000,8,3675,6,7300,0,0,147,86538,25,107,2416,8000,915,2707,83450,95072,1218,1274,34611,6743,15847,58394,333184,414168,97,236,5916,0,1947,6559,133628,142134,7,4,48,2
"32",51,"KENTUCKY",920,364,18,470,307,24,879,2617,7883,668,25,721570,824,338,4412,926,135,26,804,2585,185,955,4170,13609,14419,6,7841,105,2478,34127,175,333,45310,92,175,27,55,545,870402,10,5,9,0,46,618,1,8,44,4503,35,2096,116,3973,2975,1669,310,2964,1480,13740,27227,2,0,154,22249,231,34,10,4,75,1,38,1111,22,43,4,753,7,0,3,34,420,2,59799,721570,148232,59799,55,545,930201,4951939,24115200,37680,30,164161,5.67000007629395,3414,162907,5.59200000762939,8611,7856,16467,13.5699996948242,0.709999978542328,0.970000028610229,1.89999997615814,1.47000002861023,1.94000005722046,1060027,427690,406832,6532,122189,30991,72908,21072,2145968,2273,2148241,45,12835670,25284869,4502250,13520207,5662892,277925054,250287639,666043112,78.2099990844727,94.0999984741211,94.0999984741211,167.100006103516,241.899993896484,241.899993896484,267.899993896484,304.899993896484,458.5,537,567.929992675781,90814,7644208,11519053,211,4,1,3,57,0,0,0,65,4,1,0,0,5,0,3,1,0,0,4,0,0,0,0,3,0,0,3,19500,2750,2000,123947,31400,0,0,13504044,96763,85687,182450,102,107,209,180116,2543,182659,28742,38835,67577,1113,1350,2463,65749,4291,70040,5,3,2,1,0,0,0,1,95,106175,4,1963,91,19774,4,9400,2,10700,196,148012,20,110,2485,28350,326,200,109368,138244,4507,4646,156158,3956,167218,205960,122510,499644,223,639,17597,34265,2172,32854,373621,442912,6,4,21,2
"33",52,"MARYLAND",46,13,18,384,4744,29,124,76,99,39,7,113,182,313,481061,1032,20,6,70,97,202,1357,2364,266,610,2,18457,123,145,81,13,154,7560,19,1924,5,36,533,522324,12,5,2,12,30,333,0,5,67,4235,14,599,122,7733,3485,8126,94,2827,2229,19268,43884,0,2,376,24872,220,9,7,24,66,0,15,1583,17,48,9,177,33,1,1,176,701,1,77536,481061,40694,77536,36,533,599860,2283789,7119360,11124,61,106137,5.65000009536743,1993,108285,5.43900012969971,3831,3543,7374,9.71000003814697,0.579999983310699,0.839999973773956,1.5,1.16999995708466,2.38000011444092,873237,1164065,0,464,78934,10633,29647,2015,2144725,14170,2158895,31,12568962,20898762,2779418,4106869,8874180,65341438,231793800,376919944,253.399993896484,274.260009765625,326.799987792969,326.799987792969,326.799987792969,326.799987792969,326.799987792969,351.799987792969,361.799987792969,370.799987792969,380.299987792969,25494,3002267,1833304,190,6,0,2,49,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53200,6146,0,62898,0,0,0,20721472,41337,36983,78320,687,668,1355,77666,2009,79675,7290,8529,15819,9904,11795,21699,33780,3738,37518,9,4,2,0,0,1,1,1,1017,172800,4,11600,25,7285,6,18800,22,24570,1074,235055,9,82,628,14100,0,3000,56309,73409,935,943,36216,2786,125160,64882,50251,243079,140,290,4745,52547,4320,7957,129454,194278,5,3,24,2
"34",54,"TENNESSEE",8015,971,25,380,96,20,6372,1396,1086,253,73,12975,525,161,1222,680,115,17,3567,1471,179,384,2475,55227,2140,3,2659,135,11423,660589,254,229,36647,88,127,9,13,855,812856,11,5,1,2,18,387,1,2,32,2001,37,439,75,222,269,131,13,354,165,2640,3869,3,3,50,12498,373,11,14,14,97,1,44,577,4,32,6,566,9,1,1,29,86,2,21226,660589,151399,21226,13,855,834082,8514835,29184000,45600,24,147947,5.6399998664856,3101,146234,5.58500003814697,7758,7398,15156,11.9399995803833,0.589999973773956,0.839999973773956,1.85000002384186,1.27999997138977,1.86000001430511,455192,330034,233061,0,67762,11949,2039,2756,1102793,0,1102793,34,8067037,11751019,2267710,5538378,4324799,219991180,162504020,493903892,0,112.330001831055,185.440002441406,291.25,329.25,466.049987792969,541.210021972656,769.690002441406,887.599975585938,963.099975585938,1197.92004394531,82368,6795337,13873828,251,8,0,7,51,0,0,0,66,7,2,1,0,10,0,2,1,1,1,5,0,0,0,1,1,0,0,2,11300,4509,0,101839,43760,3500,12000,10053152,87176,75794,162970,28,24,52,162471,551,163022,27358,43001,70359,743,952,1695,69262,2792,72054,7,3,2,1,0,0,0,1,335,186033,7,15940,21,6180,16,34600,8,2475,387,245228,35,149,2932,6758,0,1281,84067,92106,2965,3064,138809,5343,22297,196351,178913,402904,274,618,15793,24239,0,13959,543363,581561,6,4,47,2
"35",62,"COLORADO",70,264,39,980,14,2,389,3620,2587,797,197,1861,150,611,461,1400,806,132,88,3312,235,143,3942,130,4125,4,1405,43,42,813,87,375,868,1204,10,107,1,297,31611,0,1,0,0,11,684,0,0,16,352,10,103,9,16,8,2,0,54,6,481,576,1,0,16,624,6,25,12,1,11,0,1,120,1,27,0,25,1,2,0,2,38,0,2666,107,31206,2666,1,297,34277,NA,NA,NA,NA,0,0,1015,9030,3.41199994087219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,5,8,2
"36",65,"NEVADA",21,42,135,66,15,1,23,504,123,53,3,186,30,162,89,251,128,10,36,210,38,55,811,41,489,4,523,19,16,96,14,132,144,65,11,177,5,65,4793,23,0,1,10,3,208,0,0,8,294,0,52,12,5,0,1,0,66,0,370,454,0,0,5,651,13,85,16,1,9,5,9,98,6,41,0,19,29,0,0,3,21,0,2064,177,4546,2064,5,65,6857,NA,NA,NA,NA,0,0,226,1801,3.38199996948242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,14132,41986,617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138,5,143,6,1,7,40,110,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,5,32,2
"37",66,"NEW MEXICO",36,38,58,25,8,10,34,57,22,11,6,108,53,33,78,72,16,2,23,171,18,38,400,22,97,3,215,16,20,101,166,26,149,9,14,84487,1,150,86793,1,0,4,0,5,76,0,1,9,145,0,108,5,51,54,23,13,124,47,252,569,1,1,6,827,11,4815,2,5,13,0,2,49,24,3,0,27,8,0,1,8,2,0,6723,84487,2155,6723,1,150,93516,NA,NA,NA,NA,21945,3.77999997138977,1071,19810,4.47800016403198,736,569,1305,14.539999961853,0.699999988079071,1.01999998092651,2.36999988555908,2.1800000667572,4.26999998092651,9255,12485,0,3550,0,0,0,4500,25115,4675,29790,NA,NA,NA,NA,NA,NA,7018260,13820520,20813768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5086,149274,1265635,77,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150,0,0,0,59800,880,586,1466,0,0,0,1460,6,1466,16008,16750,32758,12,15,27,31626,1159,32785,1,1,0,0,0,0,0,0,15,8670,0,0,0,0,0,0,2,2000,17,10670,1,5,170,0,0,0,3700,3700,17,16,235,0,0,0,1999,1999,3,12,192,0,0,0,7450,7450,8,5,35,2
"38",67,"UTAH",96,9,236,232,47,5,46,1796,322,1551,7,260,30,222,42,523,162,0,113,726,175,210,1744,118,884,1,862,26,37,398,67,326,158,37,2,15968,8,44,27490,0,17,10,0,0,647,0,1,1824,7084,2,21,51,1,4,0,0,19,0,83,158,5,0,12,278,40,12,159,1,2,0,0,1228,5,196,19,78,0,0,0,0,945,10,12754,15968,11470,12754,8,44,40244,NA,NA,NA,NA,10763,3.75,202,7271,5.38500022888184,215,159,374,23.3299999237061,1.37999999523163,1.94000005722046,2.76999998092651,2.32999992370605,3.66000008583069,18090,25357,10988,0,0,0,10571,0,61682,3324,65006,NA,NA,NA,NA,NA,NA,286504,3871516,5596118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3635,77219,12692,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,6300,0,0,0,327600,4238,3706,7944,0,0,0,6602,1342,7944,98,225,323,0,0,0,162,161,323,NA,NA,NA,NA,NA,NA,NA,NA,10,4738,2,738,0,0,0,0,0,0,12,5476,0,0,0,0,0,0,0,0,173,220,5485,0,10150,6980,10708,27838,2,5,210,0,0,0,4900,4900,8,5,49,2
"39",71,"CALIFORNIA",1382,2216,77707,2950,392,129,1111,8251,4639,2571,64,7029,2020,9864,2456,12165,2301,83,894,14002,2552,2148,28654,1582,12592,636,11143,1319,782,5197,1114,3419,5157,1999,406,1088,89,1363,233466,346,12,896,121,299,5437,100,34935,1328,12227,33,8462,727,1897,1656,709,82,4644,757,11174,21646,103,93,439,33147,2805,9150,715,1459,730,196,260,3670,470,1405,182,1714,2250,138,13,304,1262,181,146528,77707,154307,146528,89,1363,379994,112217806,120947840,188981,2,100328,3.78999996185303,15000,83767,3.84699988365173,2473,1232,3705,33.2799987792969,1.89999997615814,2.61999988555908,4.42999982833862,7.44999980926514,6.25,757101,956650,834433,0,164387,50311,55583,162657,2972589,8533,2981122,NA,NA,NA,NA,NA,NA,66906631,72748036,207874613,0,0,0,0,0,8,22,22,22,22,70.0500030517578,18716,2468034,6262000,466,22,3,2,68,1,0,0,96,4,2,0,0,6,0,9,1,0,0,10,0,0,0,8,1,0,0,9,58444,3300,2300,131249,34600,0,0,26111788,13404,12359,25763,69,84,153,23539,2377,25916,11835,7154,18989,497,207,704,11509,8184,19693,4,1,0,0,0,1,1,0,50,131714,0,0,20,17350,0,0,0,0,70,149064,10,55,524,1000,0,0,65000,66000,496,593,24977,15065,152510,118308,67213,353096,92,168,3153,1000,0,828,138925,140753,9,5,6,2
"40",72,"OREGON",110,333,486,192,46,11,78,3805,2497,2116,9,2208,65,384,271,535,247,8,46,5695,169,238,2206,422,3285,16564,1361,73,80,1432,59,293,1273,203,26,212,10,295,47343,0,0,55,8,18,663,0,425,50,690,9,198,17,171,58,42,1,222,62,505,1078,5,0,15,1266,33,26,43,17,39,0,22,217,5,56,1,71,13,56,2,6,32,3,5122,16564,30474,5122,10,295,52465,58914821,60975360,95274,0.5,12277,4.26999998092651,1602,9461,4.74200010299683,156,144,300,33.6100006103516,1.66999995708466,2.27999997138977,4.23000001907349,5.40000009536743,4.96999979019165,43397,115571,0,0,18779,1200,10658,9451,192421,6635,199056,NA,NA,NA,NA,NA,NA,6279602,12745313,28930637,0,0,0,0,0,0,0,0,0,0,3.79999995231628,5806,896414,1164125,355,2,0,0,11,0,0,0,13,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,800,0,0,14820,4000,0,8000,1074640,5818,4996,10814,0,2,2,10758,58,10816,762,737,1499,7,5,12,1200,311,1511,3,0,0,0,0,0,0,0,5,1650,1,250,4,1900,1,1500,0,0,11,5300,5,15,447,5600,0,150,7236,12986,239,245,8158,0,22061,6948,20293,49302,15,32,1654,400,340,1078,8950,10768,9,5,41,2
