"","state","name","totpop","schools","teachtot","teachm","teachf","pupils","pupilsm","pupilsf","schinc","schincen","schinctx","schincot","pubschol","pusteach","pusteacm","pusteacf","puspupil","puspuplm","puspuplf","pusinc","pusincen","pusinctx","pusincot","cptschol","cptteach","cptteacm","cptteacf","cptpupil","cptpuplm","cptpuplf","cptinc","cptincen","cptinctx","cptincot","onpschol","onpteach","onpteacm","onpteacf","onppupil","onppuplm","onppuplf","onpinc","onpincen","onpinctx","onpincot","chimschl","chifschl","indmschl","indfschl","chim10nw","chif10nw","chim15nw","chif15nw","chim21nw","chif21nw","indm10nw","indf10nw","indm15nw","indf15nw","indm21nw","indf21nw","libtot","libtovol","libnp","libnpvol","libnpst","libnpstv","libnploc","libnplov","libnplaw","libnplav","libnpsch","libnpscv","libnpsun","libnpsuv","libnpchu","libnpchv","libnpaca","libnpacv","libnppri","libnpprv","libnpben","libnpbev","libnpcir","libnpciv","libpr","libprvol","area","density","families","perfam","dwell","perdwell","m518","f518","mnb518","fnb518","mfb518","ffb518","mwh518","fwh518","mcol518","fcol518","mchi518","fchi518","mind518","find518","m1845","mnb1845","mfb1845","mwh1845","mcol1845","mchi1845","mind1845","m210","mnb210","mfb210","mwh210","mcol210","mchi210","mind210","mcit210","dthmtot","dthftot","valas","valrest","valpers","valtrue","newspaps","newscops","newscirc","newsday","newsdayc","newswk3","newswk3c","newswk2","newswk2c","newswk","newswkc","newsmo2","newsmo2c","newsmo","newsmoc","newsmob","newsmobc","newsq","newsqc","newsann","newsannc","newsad","newsadco","newsadci","newsadw","newsadwc","newamo2","newam2c","newamo","newamoc","newamob","newamobc","newsadq","newsadqc","newsagri","newsagco","newsagci","newsagw","newsagwc","newagm2","newagm2c","newagmo","newagmoc","newsben","newsbeco","newsbeci","newsbew","newsbewc","newbem2","newbem2c","newbemo","newbemoc","newbeq","newbeqc","newscf","newscfco","newscfci","newscfd","newscfdc","newcfw3","newcfw3c","newcfw2","newcfw2c","newcfw","newcfwc","newcfm2","newcfm2c","newcfm","newcfmc","newcfbm","newcfbmc","newcfq","newcfqc","newsil","newsilco","newsilci","newsild","newsildc","newilw3","newilw3c","newilw2","newilw2c","newilw","newilwc","newilm2","newilm2c","newilm","newilmc","newilbm","newilbmc","newilq","newilqc","newsna","newsnaco","newsnaci","newsnad","newsnadc","newnaw3","newnaw3c","newnaw2","newnaw2c","newnaw","newnawc","newnawb","newnawbc","newspo","newspoco","newspoci","newspod","newspodc","newpow3","newpow3c","newpow2","newpow2c","newpow","newpowc","newpom2","newpom2c","newpom","newpomc","newsre","newsreco","newsreci","newrew","newrewc","newrem2","newrem2c","newrem","newremc","newrebm","newrebmc","newreq","newreqc","newssp","newsspco","newsspci","newspw","newspwc","newspm","newspmc","newspt","newsptco","newsptci","newptd","newptdc","newptw","newptwc","newptm2","newptm2c","newptm","newptmc","newptmb","newptmbc","newptq","newptqc","fips","region1","region2","level"
"11",21,"ILLINOIS",2539891,11835,24056,10411,13645,767775,389955,377820,9970009,252569,6027510,3689930,11050,20097,8791,11306,677623,343445,334178,7810265,0,5858249,1952016,80,571,354,217,11755,7255,4500,896372,222374,161318,512680,705,3388,1266,2122,78397,39255,39142,1263372,30195,7943,1225234,0,0,3,1,0,0,0,0,0,0,0,0,0,0,5,5,13570,3323914,3705,924545,1,10000,53,35010,135,23832,1122,140759,2080,438567,228,47533,7,153492,0,0,0,0,79,75352,9865,2399369,55410,45.8400001525879,474533,5.34999990463257,464155,5.46999979019165,414547,404219,385164,375389,29383,28830,410582,400223,3961,3992,0,0,4,4,525873,346564,179309,518924,6941,0,8,625139,390735,234404,617435,7694,1,9,542833,18141,15531,482899575,348433906,134465669,2121680579,505,113140492,1722541,39,166400,10,40570,4,2950,364,890913,11,107900,72,490808,2,11000,3,12000,0,0,11,390400,24200,2,2200,1,2000,7,18500,0,0,1,1500,10,4332640,122720,3,71500,0,0,7,51220,9,671600,27300,3,8600,0,0,6,18700,0,0,22,5403600,97400,4,8600,0,0,0,0,11,41800,0,0,7,47000,0,0,0,0,58,8029500,339625,1,500,0,0,0,0,34,86725,2,33000,20,209400,1,10000,0,0,2,218400,4200,0,0,0,0,0,0,2,4200,0,0,340,83191420,738420,33,157050,10,40570,4,2950,291,534350,2,3500,0,0,37,9572232,300326,16,128538,6,69400,14,101388,1,1000,0,0,0,0,0,0,0,0,0,16,1330700,68350,1,250,2,13000,0,0,11,44600,0,0,2,10500,17,3,2,2
"12",22,"INDIANA",1680637,9073,11652,6678,4974,464477,237664,226813,2499511,50620,2126502,322389,8871,11042,6402,4640,446076,228189,217887,2063599,0,2002052,61547,50,325,184,141,8337,4936,3401,366511,50620,118250,197641,152,285,92,193,10064,4539,5525,69401,0,6200,63201,0,0,13,21,0,0,0,0,0,0,9,7,3,9,30,47,5301,1125553,2333,627894,1,17870,52,39029,92,10308,1006,323391,1075,204692,87,24356,0,0,0,0,0,0,20,8248,2968,497659,33809,49.7099990844727,320160,5.25,318469,5.28000020980835,287357,279818,282424,274986,4933,4832,283486,275921,3830,3842,0,0,41,55,319658,274648,45010,314329,5294,0,35,388231,318055,70176,382070,6113,0,48,376780,9208,8453,663455044,460120974,203334070,1268180543,293,26964984,363542,20,42300,3,2200,1,350,233,239342,6,9200,28,64150,2,6000,0,0,0,0,6,130800,8700,2,1500,1,200,1,1000,2,6000,0,0,5,178000,11500,1,1000,0,0,4,10500,6,129400,7250,1,1000,1,200,4,6050,0,0,4,276000,13000,0,0,0,0,0,0,3,3000,0,0,1,10000,0,0,0,0,16,956600,27350,0,0,0,0,0,0,10,15650,1,200,5,11500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,24481784,256342,20,42300,3,2200,1,350,215,211192,1,300,0,0,9,691200,29600,1,6000,1,8000,7,15600,0,0,0,0,0,0,0,0,0,0,0,7,121200,9800,0,0,0,0,1,300,6,9500,0,0,0,0,18,3,2,2
"13",23,"MICHIGAN",1184059,5595,9559,2999,6560,266627,128949,137678,2550018,81775,2097122,371121,5414,8977,2796,6181,254828,123984,130844,2164489,0,2019622,144867,33,316,129,187,5480,2327,3153,297155,80275,77500,139380,148,266,74,192,6319,2638,3681,88374,1500,0,86874,0,0,207,166,0,0,0,0,0,0,122,104,152,168,517,760,26763,2174744,3002,578631,1,31265,423,124207,49,10359,246,37734,1731,239471,436,81891,0,0,0,0,0,0,116,53704,23761,1596113,56451,20.9699993133545,241006,4.90999984741211,237036,5,181806,176724,159197,154863,22609,21861,179079,174064,1890,1942,0,0,837,718,252821,165088,87733,249300,2640,2,879,315937,201684,114253,311712,3130,2,1093,274459,5771,5410,272242917,224663667,47579250,719208118,211,19686978,253774,16,27485,3,5000,0,0,174,192889,2,1300,16,27100,0,0,0,0,0,0,2,30800,900,1,500,0,0,1,400,0,0,0,0,1,260000,5000,1,5000,0,0,0,0,2,220000,5000,1,4000,0,0,1,1000,0,0,3,988000,19000,0,0,0,0,0,0,3,19000,0,0,0,0,0,0,0,0,17,547592,12146,0,0,0,0,0,0,14,9746,1,1000,2,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,16943386,179628,16,27485,3,5000,0,0,147,146843,1,300,0,0,7,351400,10950,4,5500,0,0,3,5450,0,0,0,0,0,0,0,0,0,0,0,12,345800,21150,0,0,3,2300,0,0,9,18850,0,0,0,0,26,3,2,2
"14",24,"OHIO",2665260,11952,23589,10266,13323,790795,419591,371204,10244644,222074,8634815,1387755,11458,21743,9306,12437,737693,389022,348671,8528145,10000,8495145,23000,167,1018,588,430,21093,12696,8397,1088899,212074,139670,737155,327,828,372,456,32009,17873,14136,627600,0,0,627600,0,0,7,8,0,0,0,0,0,0,2,3,3,1,4,10,17790,3687363,6025,1334363,1,34200,3,61000,1,5000,1118,426013,4896,796650,0,0,1,3000,0,0,0,0,5,8500,11765,2353000,39964,66.6900024414062,521981,5.1100001335144,495667,5.38000011444092,425466,420505,411381,406274,14085,14231,415670,410858,9776,9632,0,0,20,15,501750,387360,114390,488547,13180,1,22,640820,466213,174607,625176,15614,1,29,592350,15724,13844,1167731697,707846836,459884861,2235430300,395,98548814,1388367,26,139705,8,13560,3,7200,299,923502,8,65050,47,228750,2,2700,2,7900,0,0,9,398200,16350,3,5050,0,0,6,11300,0,0,0,0,3,596000,13000,2,11000,0,0,1,2000,6,803600,45300,2,6500,0,0,4,38800,0,0,6,480400,10300,0,0,0,0,0,0,5,9100,0,0,0,0,1,1200,0,0,38,10841120,132960,1,25000,0,0,0,0,26,46210,1,600,9,53650,0,0,1,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,271,72711094,796857,25,114705,8,13560,3,7200,232,658792,0,0,3,2600,40,11011400,255600,26,184450,5,47450,8,23300,0,0,1,400,0,0,0,0,0,0,0,22,1707000,118000,0,0,3,2400,2,17000,16,97100,1,1500,0,0,39,3,2,2
"15",25,"WISCONSIN",1054670,4943,7955,2511,5444,344014,176541,167473,2600310,32953,2027876,539481,4859,7669,2383,5286,337008,172950,164058,2209384,350,1962741,246293,28,176,115,61,3600,2312,1288,307653,32603,64135,210915,56,110,13,97,3406,1279,2127,83273,0,1000,82273,0,0,60,70,0,0,0,0,0,0,24,11,18,20,59,104,2883,905811,1332,378680,4,61400,9,4838,8,1010,194,50492,1008,209523,70,12550,0,0,0,0,0,0,39,38867,1551,527131,53924,19.5599994659424,200155,5.26999998092651,197098,5.34999990463257,178669,175347,153931,151704,24738,23643,178201,174879,290,271,0,0,178,197,192331,86593,105738,191521,603,0,207,255159,98642,156517,254262,642,0,255,203077,5339,4621,333209838,252322107,80887731,702307329,190,28762920,343385,14,43250,2,3200,3,6850,160,266000,2,1900,9,22185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,638000,21500,2,9500,0,0,1,12000,2,163800,3150,2,3150,0,0,0,0,0,0,2,1086000,6000,1,3000,0,0,0,0,1,3000,0,0,0,0,0,0,0,0,5,30600,2550,0,0,0,0,0,0,0,0,0,0,5,2550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,26378900,294550,13,40250,2,3200,3,6850,153,243850,1,400,0,0,6,465620,15635,2,6500,1,1500,3,7635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,3,2,2
"16",31,"IOWA",1194020,7496,9319,3656,5663,217654,105665,111989,3570093,63150,3347629,159314,7322,8866,3381,5485,205923,100308,105615,3245352,3100,3241752,500,71,310,209,101,6453,3421,3032,282191,60050,105877,116264,103,143,66,77,5278,1936,3342,42550,0,0,42550,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,3540,673600,1153,377851,1,11000,23,22808,11,944,15,18747,999,278251,85,25584,0,0,0,0,1,150,18,20367,2387,295749,55045,21.6900005340576,222430,5.36999988555908,219846,5.44000005722046,201531,193165,187839,180307,13692,12858,200711,192373,805,787,0,0,15,5,240769,173060,67709,239331,1425,3,10,290717,197852,92865,289162,1542,2,11,255802,5117,4480,302515418,226610638,75904780,717644750,233,16403380,219090,22,19800,3,1650,1,1000,196,187840,3,3400,5,3950,2,750,1,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,225400,5450,1,4000,0,0,2,1450,2,37200,2300,0,0,1,800,1,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,92360,1930,0,0,0,0,0,0,4,1730,0,0,1,200,0,0,0,0,2,44000,1200,0,0,0,0,0,0,1,800,1,400,215,15859920,202460,22,19800,3,1650,1,1000,189,180010,0,0,0,0,3,130000,3900,1,1300,2,2600,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14500,1850,0,0,0,0,0,0,1,800,1,350,1,700,19,4,2,2
"17",32,"KANSAS",364399,1689,1955,872,1083,59882,30493,29389,787226,19604,678185,89437,1663,1864,829,1035,58030,29632,28398,660635,0,645532,15103,15,78,39,39,1181,570,611,119241,19604,32653,66984,11,13,4,9,671,291,380,7350,0,0,7350,0,0,151,114,0,0,0,0,0,0,8,10,10,22,128,181,574,218676,190,92425,0,0,4,4100,3,2050,3,6500,141,33440,35,39785,0,0,0,0,0,0,4,6550,384,126251,81318,4.48000001907349,72493,5.03000020980835,71071,5.13000011444092,55669,53041,52749,50432,2920,2609,52869,50063,2641,2853,0,0,159,125,95002,73067,21935,91258,3569,0,175,105671,79441,26230,101480,3985,0,206,99069,2433,2113,92125861,65499365,26626496,188892014,97,9518176,96803,12,17570,4,1840,0,0,78,71393,0,0,3,6000,0,0,0,0,0,0,1,15600,300,1,300,0,0,0,0,0,0,0,0,1,42000,3500,0,0,0,0,1,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,9430576,90503,12,17570,4,1840,0,0,77,71093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,30000,2500,0,0,0,0,0,0,2,2500,0,0,0,0,20,4,2,2
"18",33,"MINNESOTA",439706,2479,2886,979,1907,107266,55166,52100,1011769,2000,903101,106668,2424,2758,919,1839,103408,53171,50237,895204,0,870476,24728,9,51,38,13,793,565,228,76376,0,32625,43751,46,77,22,55,3065,1430,1635,40189,2000,0,38189,0,0,16,16,0,0,0,0,0,0,36,30,32,19,110,143,1412,360810,587,160790,1,10000,15,9981,1,500,1,4000,464,85710,80,26798,1,7000,0,0,1,200,23,16601,825,200020,83531,5.26000022888184,82471,5.32999992370605,81140,5.42000007629395,72657,70008,58741,56718,13916,13290,72452,69823,91,76,0,0,114,109,94238,40808,53430,93848,258,0,132,114739,45933,68806,114344,246,0,149,75274,1949,1577,84135332,62079587,22055745,228909590,95,9543656,110778,6,14800,5,4200,0,0,79,79978,0,0,5,11800,0,0,0,0,0,0,1,60000,5000,0,0,0,0,1,5000,0,0,0,0,2,48000,4000,0,0,0,0,2,4000,1,62400,1200,1,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,104000,2000,0,0,0,0,0,0,3,2000,0,0,0,0,0,0,0,0,1,52000,1000,0,0,0,0,0,0,1,1000,0,0,83,9032856,91878,6,14800,5,4200,0,0,72,72878,0,0,0,0,3,162800,3900,2,2900,0,0,1,1000,0,0,0,0,0,0,0,0,0,0,0,1,21600,1800,0,0,0,0,0,0,1,1800,0,0,0,0,27,4,2,2
"19",34,"MISSOURI",1721295,6750,9028,5157,3871,370337,186641,183696,4340805,57567,3067449,1215789,5996,7362,4414,2948,320313,163582,156731,3092733,5300,3007766,79667,106,717,379,338,12820,6594,6226,661996,51267,59683,551046,648,949,364,585,37204,16465,20739,586076,1000,0,585076,0,0,3,5,0,0,0,0,0,0,2,1,2,6,6,9,5645,1065638,1742,498996,1,12000,11,8097,125,35104,50,44825,1283,188493,243,96845,0,0,1,1182,0,0,28,112450,3903,566642,65350,26.3400001525879,316917,5.42999982833862,292769,5.86999988555908,294316,283487,285539,275105,8777,8382,273204,262344,21102,21125,0,0,10,18,352998,267459,85539,331304,21680,2,12,408206,296294,111912,384314,23882,2,8,380235,15762,12220,556129969,418527535,137602434,1284922897,279,47980422,522866,21,86555,5,13800,0,0,225,342361,3,22000,23,53650,1,1500,1,3000,0,0,7,217200,20100,0,0,0,0,6,17100,0,0,1,3000,3,948000,19000,2,18000,0,0,1,1000,1,33600,2800,0,0,0,0,1,2800,0,0,4,69000,5750,0,0,0,0,0,0,0,0,0,0,4,5750,0,0,0,0,3,556400,10700,0,0,0,0,0,0,3,10700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,42996822,369816,21,86555,5,13800,0,0,211,269461,0,0,0,0,17,2784400,69700,9,44200,2,15000,6,10500,0,0,0,0,0,0,0,0,0,0,0,7,375000,25000,0,0,0,0,1,7000,5,16500,1,1500,0,0,29,4,2,2
"20",35,"NEBRASKA",122993,796,840,450,390,17614,9492,8122,207560,0,186435,21125,781,813,436,377,17052,9227,7825,182160,0,181435,725,6,13,7,6,156,77,79,16900,0,5000,11900,9,14,7,7,406,188,218,8500,0,0,8500,0,0,3,5,0,0,0,0,0,0,4,3,3,2,3,11,390,147040,171,51915,0,0,1,200,1,600,0,0,133,39175,33,10940,0,0,0,0,0,0,3,1000,219,95125,75995,1.62000000476837,25075,4.90999984741211,25144,4.8899998664856,17779,16744,15378,14529,2401,2215,17684,16618,82,111,0,0,13,15,35677,22257,13420,35365,302,0,10,39080,23591,15489,38782,290,0,8,36169,545,455,54584616,38365999,16218617,69277483,42,3388500,31600,7,6850,1,500,0,0,30,22400,0,0,4,1850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10200,850,0,0,0,0,2,850,0,0,0,0,0,0,0,0,0,0,0,2,14800,900,0,0,0,0,0,0,1,100,0,0,1,800,0,0,0,0,5,64800,1400,0,0,0,0,0,0,4,1200,0,0,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3298700,28450,7,6850,1,500,0,0,25,21100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,4,2,2
"21",37,"DAKOTA TERRITORY",14181,35,52,23,29,1255,694,561,9284,0,8364,920,34,48,22,26,1223,679,544,8684,0,8364,320,0,0,0,0,0,0,0,0,0,0,0,1,4,1,3,32,15,17,600,0,0,600,0,0,8,8,0,0,0,0,0,0,64,73,58,70,147,206,19,9726,5,2788,1,2238,0,0,0,0,0,0,4,550,0,0,0,0,0,0,0,0,0,0,14,6938,150932,0.0900000035762787,3090,4.59000015258789,3231,4.3899998664856,1736,1631,1383,1332,353,299,1519,1422,7,9,0,0,210,200,5301,2808,2493,5071,32,0,198,5724,2917,2807,5496,28,0,200,5234,69,32,2924489,1695723,1228766,5599752,3,85904,1652,0,0,0,0,0,0,3,1652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,85904,1652,0,0,0,0,0,0,3,1652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,4,2,2
"22",40,"VIRGINIA",1225163,2024,2697,1452,1245,60019,30878,29141,1155585,47586,120148,987851,122,171,43,128,8700,4275,4425,98770,1050,55425,42295,116,380,292,88,6861,4423,2438,509437,46106,63000,400331,1786,2146,1117,1029,44458,22180,22278,547378,430,1723,545225,0,0,14,17,0,0,0,0,1,0,5,10,9,11,37,46,4171,1107313,1409,386020,2,22700,1,753,12,2117,4,50000,1146,182436,232,75233,0,0,0,0,0,0,12,52781,2762,721293,38348,31.9500007629395,231574,5.28999996185303,224947,5.44999980926514,200103,196709,199665,196269,438,440,114561,111026,85510,85644,0,0,32,39,206658,202072,4586,123124,83488,4,42,269242,261948,7294,161500,107691,4,47,266680,7552,7631,365439917,279116017,86323900,409588133,114,13319578,143840,16,24099,7,4800,8,7033,69,75488,4,4520,10,27900,0,0,0,0,0,0,5,178400,7200,1,2000,1,1000,3,4200,0,0,0,0,2,36000,3000,0,0,0,0,2,3000,0,0,0,0,0,0,0,0,0,0,0,1,20800,400,0,0,0,0,0,0,1,400,0,0,0,0,0,0,0,0,9,329232,5783,0,0,0,0,4,1533,3,2850,1,400,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,11619946,89207,16,24099,7,4800,4,5500,58,54038,1,770,0,0,9,1090800,34550,6,16200,1,2350,2,16000,0,0,0,0,0,0,0,0,0,0,0,2,44400,3700,0,0,0,0,0,0,2,3700,0,0,0,0,51,5,3,2
"23",41,"ALABAMA",996992,2969,3364,2372,992,75866,37223,38643,976351,39500,471161,465690,2812,3008,2173,835,67263,33390,33873,629626,8000,447156,174470,57,207,122,85,4218,1799,2419,275355,31500,22005,221850,100,149,77,72,4385,2034,2351,71370,0,2000,69370,0,0,0,0,0,0,0,0,0,0,5,12,2,4,16,16,1430,576882,298,86577,1,3000,4,800,33,7785,12,23300,239,49517,9,2175,0,0,0,0,0,0,0,0,1132,490305,50722,19.6599998474121,202704,4.92000007629395,198327,5.03000020980835,173273,169703,173100,169548,173,155,91989,89798,81274,79882,0,0,10,23,168986,165045,3941,88175,80794,0,17,203315,197454,5861,105474,97823,0,18,202046,5637,5134,155582595,117223043,38359552,201855841,89,9198980,91165,9,16420,2,700,2,2870,76,71175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,9068980,88665,9,16420,2,700,2,2870,74,68675,0,0,0,0,2,130000,2500,2,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4,2
"24",42,"ARKANSAS",484471,1978,2297,1653,644,81526,41939,39587,681962,7300,555331,119331,1744,1966,1458,508,72045,37103,34942,552461,7300,529881,15280,37,79,51,28,2453,1255,1198,55987,0,25450,30537,197,252,144,108,7028,3581,3447,73514,0,0,73514,0,0,0,0,3,0,0,0,1,0,3,2,2,0,3,8,1181,135564,293,54332,1,12500,6,250,29,5747,0,0,216,29412,37,4930,0,0,0,0,0,0,4,1493,888,81232,52198,9.30000019073486,96135,5.03999996185303,93195,5.19999980926514,84645,80847,84530,80760,115,87,64515,61350,20118,19482,1,0,11,15,94873,92037,2836,70253,24507,94,19,104083,100598,3485,77195,26789,83,16,100403,3202,2917,94528843,63102304,31426539,156394691,56,1824860,29830,3,1250,1,300,0,0,48,26280,0,0,4,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12000,1000,0,0,0,0,2,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1800860,27830,3,1250,1,300,0,0,48,26280,0,0,0,0,1,6000,500,0,0,0,0,1,500,0,0,0,0,0,0,0,0,0,0,0,1,6000,500,0,0,0,0,0,0,1,500,0,0,0,0,5,7,4,2
"25",43,"FLORIDA",187748,377,482,254,228,14670,6788,7882,154569,6750,73642,74177,226,265,169,96,10132,4674,5458,76389,4000,61552,10837,10,32,16,16,580,318,262,11005,2100,4870,4035,141,185,69,116,3958,1796,2162,67175,650,7220,59305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,253,112928,75,25374,1,7000,0,0,5,4182,0,0,54,10500,13,1970,0,0,0,0,0,0,2,1722,178,87554,59268,3.17000007629395,39394,4.76999998092651,41047,4.57000017166138,32873,31024,32626,30742,247,282,16985,15921,15888,15102,0,0,0,1,34539,32704,1835,17900,16638,0,1,39907,37365,2542,21064,18842,0,1,38854,1225,1039,32480843,20197691,12283152,44163655,23,649220,10545,0,0,2,820,1,300,20,9425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20800,400,1,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,59800,1150,0,0,0,0,0,0,3,1150,0,0,0,0,0,0,0,0,1,26000,500,0,0,0,0,0,0,1,500,0,0,18,542620,8495,0,0,2,820,1,300,15,7375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,3,2
"26",44,"GEORGIA",1184109,1880,2432,1517,915,66150,32775,33375,1253299,66560,114626,1072113,246,327,180,147,11150,5700,5450,175844,7128,59293,109423,163,403,267,136,9658,4756,4902,385067,40300,33723,311044,1471,1702,1070,632,45342,22319,23023,692388,19132,21610,651646,0,0,0,0,0,0,0,0,0,0,2,2,0,2,5,6,1735,467232,545,162851,1,16000,4,3730,63,8610,15,41100,369,63114,82,16002,2,2000,0,0,1,400,8,11895,1190,304381,58000,20.4200000762939,237850,4.98000001907349,236436,5.01000022888184,206026,201490,205758,201258,268,232,110345,108014,95676,93470,0,0,5,6,202573,198265,4308,108711,93852,1,9,237640,231312,6328,129665,107962,1,12,234919,6990,6616,227219519,143948216,83271303,268169207,110,15539724,150987,15,30800,5,3600,9,5100,73,88837,2,700,6,21950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,534000,24500,2,6000,0,0,4,18500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,272624,7712,0,0,0,0,0,0,3,4412,1,300,1,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,13808100,100425,15,30800,5,3600,9,5100,64,60925,0,0,0,0,4,910000,17500,4,17500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15000,850,0,0,0,0,1,400,1,450,0,0,0,0,13,5,3,2
"27",45,"LOUISIANA",726915,592,1902,926,976,60171,29854,30317,1199684,34625,564988,600071,178,459,122,337,25832,12095,13737,473707,0,445683,28024,48,440,179,261,5192,2864,2328,448325,34275,116400,297650,366,1003,625,378,29147,14895,14252,277652,350,2905,274397,0,0,0,0,0,0,0,0,41,1,42,31,33,42,119,107,2332,847406,480,263266,2,64000,1,10000,61,31583,34,37050,173,40225,183,60008,0,0,0,0,0,0,26,20400,1852,584140,41346,17.5799999237061,158099,4.59999990463257,150427,4.82999992370605,112520,113594,111268,112242,1252,1352,59036,59182,53394,54304,0,0,90,108,136753,115851,20902,70401,66158,59,135,174187,143156,31031,87066,86913,68,140,159001,8212,6287,253371890,191343376,62028514,323125666,92,13755690,84165,7,34395,1,800,8,8500,75,39970,0,0,1,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,156000,3000,1,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,672000,3000,1,2000,0,0,0,0,1,1000,0,0,0,0,0,0,0,0,3,29400,950,0,0,0,0,0,0,2,450,0,0,1,500,0,0,0,0,1,26000,500,0,0,0,0,0,0,1,500,0,0,85,12872290,76715,6,32395,1,800,8,8500,70,35020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,7,4,2
